track_id,track_name,artist_name,cosine_dist_mod2,predicted_genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_opm acoustic_prob,predicted_opm dance_prob,predicted_opm jazz_prob,predicted_opm rap_prob,predicted_opm reggae_prob,predicted_opm rock_prob
5f9808hpiCpuNyqqdXmpF2,Buwan,juan karlos,0.00771872,opm acoustic,0.631,0.381,0.498134238,0.04,0.447,0.000171,0.0902,0.36,0.491545957,0.400654547,0.015960529,0.147748856,0.113885465,0.013112725,0.308637878
696Gt2ZDsC1cxXEZo02azD,We Can't Be,Krissy,0.009060213,opm acoustic,0.516,0.31,0.483353526,0.0279,0.565,0,0.113,0.33,0.510134431,0.486898885,0.024878019,0.114283772,0.03197875,0.009775082,0.332185492
267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,0.009688214,opm acoustic,0.551,0.329,0.550327114,0.0431,0.648,3.82E-05,0.0925,0.331,0.580717226,0.495322894,0.025532848,0.178313461,0.06258512,0.012826459,0.225419219
4NZJUFjccdGUfRb7z7Igbd,Sana Ngayong Pasko,Silent Sanctuary,0.009811427,opm acoustic,0.678,0.387,0.59103465,0.0295,0.667,0,0.186,0.369,0.498456388,0.489790293,0.023962417,0.209429867,0.067487162,0.017946039,0.191384222
3gkwEytdCYIsrFdfEE2ALW,Mahika,TJ Monterde,0.01026752,opm acoustic,0.545,0.49,0.734819481,0.0289,0.557,7.69E-05,0.127,0.372,0.582553929,0.338577842,0.024884197,0.139275226,0.043952706,0.019285637,0.434024391
1FHCU1rDAeaPsBW9byjJ0Q,12:51,krissy & ericka,0.01200996,opm acoustic,0.503,0.357,0.616767628,0.0272,0.727,0,0.128,0.438,0.557504429,0.39300267,0.039689533,0.206632734,0.035147512,0.017635814,0.307891738
5uBWj5DHsKw3DayLOuh7by,Heartbeats,Andrea Babierra,0.012130975,opm acoustic,0.62,0.42,0.523867216,0.0283,0.715,0.00941,0.111,0.32,0.556247395,0.508274025,0.02707884,0.199699728,0.051143933,0.020256727,0.193546746
7bkAr4WNoTuSjpuh1NRQjm,Ex,Callalily,0.014239388,opm rock,0.631,0.507,0.68887812,0.0263,0.455,1.74E-05,0.096,0.378,0.583387609,0.318736273,0.018814542,0.12631374,0.080751709,0.017001279,0.438382457
1pi3VCMlGVaXvrjlVOkBPN,KLWKN,Music Hero,0.01485021,opm acoustic,0.493,0.394,0.731281803,0.0366,0.575,0,0.267,0.375,0.661030638,0.353279948,0.028394833,0.157186225,0.048994829,0.014906359,0.397237806
0HZ3OUVrGHxttD2EuHqRm3,The Day You Said Goodnight,Hale,0.015138363,opm acoustic,0.558,0.553,0.747177126,0.0323,0.492,0,0.116,0.251,0.545311849,0.445940307,0.020034132,0.077610358,0.065159232,0.021885987,0.369369984
