track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6NFKf8vBApSvtzkapYmnVR,Tadhana,3wbCeEPAW6po7J46netxMT,Up Dharma Down,4SjshYHT8OeSHB6zun2Hxx,222446,2012-12-07,17,0.686,0.322,6,-13.2,1,0.0369,0.165,0.0296,0.0809,0.511,155.982,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
3WgYEnpYw6n1o3JOuHPUxF,Sana,3wbCeEPAW6po7J46netxMT,Up Dharma Down,79lTnARkFpPsL8KJpV9UKI,280146,2009-02-05,5,0.731,0.478,0,-7.779,1,0.0302,0.391,7.45e-06,0.166,0.606,80.974,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
3RYpfzRDiCTPESz7yBLT0e,Colour Everywhere,4U78sK2D3zASSB6oSR38GQ,Christian Bautista,0qEwvzXNVsPFK7eftFej7Q,253173,2004-03-25,47,0.73,0.433,3,-8.335,0,0.0316,0.73,0.0,0.128,0.44,125.862,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
29xs643Q96uQLD8f7SxYYw,Sa'yo,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,4xxRoePLdITFIhrzUhmOaQ,253360,2013-06-11,1,0.567,0.0896,5,-12.944,1,0.0343,0.796,0.0,0.218,0.367,79.002,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
2Pelm9xgLSC78mRk0jbOKb,Sila - Acoustic,0jKQrxK2zHqxyOAyIMrUQt,SUD,1HHK0oozKwo9piao0wO25d,319608,2016-03-18,48,0.751,0.281,9,-9.282,1,0.0429,0.743,0.0,0.26,0.386,124.89,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
4nvx2hzCefFtJUoZJo92tT,"Don't Know What to Do, Don't Know What to Say",7ygtjsCTrCQZAYYPOne9uE,Erik Santos,4RAkzWhIlhGxX3LJgx9sfZ,210000,2016-09-14,38,0.492,0.439,10,-10.544,0,0.0298,0.782,0.000755,0.11,0.375,119.928,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
6zs5mO6DeDOe3UKia8KqtH,Tuloy Pa Rin,0vkER0y96fNRbGEs6wLZxR,Neocolours,3pdZypW5gh7ddsQTtvyxv0,273666,2008-09-03,0,0.668,0.546,9,-11.365,1,0.0277,0.452,4.09e-06,0.111,0.54,109.036,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
4n8vZVyw7Z90tLoV3Nvn4C,Ikaw,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,6Mm6w4hG8pDXK9O0ZWm95f,284920,2014-10-30,0,0.654,0.336,10,-7.21,1,0.0307,0.575,0.0,0.0784,0.105,120.027,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
57jj1gzRxWRCoUalClk35h,"Ako'y Sa Iyo, Ika'y Sa Akin",18YUfP2BHNemUkoyKBuH5p,I Axe,5WCvLAA4hfH4QLLZTuxxvx,304653,1994-01-01,44,0.623,0.0703,9,-18.852,1,0.0445,0.82,0.0,0.134,0.271,144.321,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
4U2UU5GHKxBBqkYacJJiMB,Ba't Di Ko Nasabi,6f5QM9Ku1NEwRTFlmUf63T,Krizza Neri,0KIyWTpuRdTSRMHTL15Efv,291813,2015,41,0.561,0.505,6,-7.149,1,0.0293,0.552,8.56e-06,0.139,0.195,129.922,3GGq4AgCWovQf9unH4OeLA,OPM Acoustic Mellow Rock
