track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3Rdz3JsgglGWk4GW0J9tlz,Angels Crying,53I4RAzuXWvaO1vzrCBJbD,E-Type,5pI9fafbCcJjFexTIVYMeM,230773,1998-01-01,46,0.611,0.982,11,-6.321,0,0.0322,0.0426,0.00886,0.261,0.966,138.225,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
5LJN5trTe8v9XRLvqi9SUl,Doodah - Radio 'N' Roll Mix,6eKJWEzLZq8jZix8hdYsv4,Cartoons,0lKry7c7VLzsx4dD0DXSiI,193280,1998-09-24,44,0.767,0.956,11,-5.257,1,0.043,0.0831,0.0013,0.14,0.981,135.991,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
7kz6GbFr2MCI7PgXJOdq8c,Barbie Girl,6kBjAFKyd0he7LiA5GQ3Gz,Aqua,3vkxgQhR4QsgozSDmGoAvY,194040,2007-01-01,0,0.796,0.97,1,-5.193,0,0.0371,0.00739,0.195,0.666,0.961,130.002,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
2Ld2LehpgQNREMxl9LlIzm,"Boom, Boom, Boom, Boom!!",0cwmNvclzPd8mQnoHuIksj,Vengaboys,44BtGGBJohrvoKVzmi1wij,202583,1998,38,0.801,0.947,11,-4.624,0,0.0387,0.0118,0.427,0.0248,0.968,138.489,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,0uq5PttqEjj3IH1bzwcrXF,Spice Girls,3x2jF7blR6bFHtk4MccsyJ,173026,1996-01-01,81,0.768,0.864,11,-6.145,1,0.0324,0.101,0.0,0.162,0.891,110.008,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
43rNJ0jpFNSQU4XwoFmxOx,Believe,72OaDtakiy6yFqkt4TsiFt,Cher,1mHrBLr0xfMNp5NUw3KyXY,238693,1998,0,0.653,0.933,6,-6.041,1,0.0522,0.00754,0.0,0.0574,0.429,132.965,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
5FgtdSf7I5lClThz2ptWvl,Blue (Da Ba Dee),64rxQRJsLgZwHHyWKB8fiF,Eiffel 65,65DySolRDG1LNSvRXcWQWN,283747,1999,0,0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
4RwIkzRJEk1pPVsyd592tc,MMMBop,0SdiiPkr02EUdekHZJkt58,Hanson,5xifoEEgCulzNTh4lTH89A,237453,2008-01-01,0,0.693,0.97,9,-3.725,1,0.0522,0.00987,0.00143,0.101,0.657,104.892,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
1fn6EFBBNiDVhL3DxDDJTD,Bring It All Back,1kM5rgJvkiDMOoKX56H6pX,S Club 7,6QanSklvTjKC0M7CTQb3t6,213600,1999-01-01,0,0.675,0.895,4,-4.904,1,0.0484,0.319,0.0,0.369,0.824,108.093,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
68C7Q9IW70v5uaXSXyWVm3,The Sign,5ksRONqssB7BR161NTtJAm,Ace of Base,6ffpRSfiSJDagQAL76kDRC,189786,1993-01-04,0,0.802,0.828,4,-6.366,0,0.0426,0.0127,0.0683,0.0293,0.946,97.01,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
5YScXJKtefsgdskIy60N7A,Tubthumping,0TcYeHEK9sBtv7xPbKhzHz,Chumbawamba,0x3uUHhj8bCoM5Uzi5FNIv,278960,1997-01-01,63,0.263,0.871,2,-7.496,1,0.131,0.106,0.0,0.363,0.622,206.68,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
4PifbP29I4IF0I437LTMW3,All That She Wants,5ksRONqssB7BR161NTtJAm,Ace of Base,6ainZWIWWIxOhIEGuSAZbg,213040,1992-01-06,0,0.795,0.497,11,-13.661,1,0.0659,0.00571,6.75e-05,0.118,0.857,93.744,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
5CMoHjVSB0aHxbhrWvpdUQ,Saturday Night - Radio Edit,0lHoDF96DNKSIcIpcOfMnq,Whigfield,4fHLo88ApEidibGIl4FoAh,223909,1994-09-19,0,0.736,0.867,11,-9.068,1,0.0388,0.033,0.0265,0.234,0.966,129.966,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
11d9oUiwHuYt216EFA2tiz,Ice Ice Baby,7GXXMm3DB1VswVcuGyInUd,Vanilla Ice,1LHacvoBTd7o2d7wwQ9EZD,271466,1990-01-01,65,0.98,0.535,2,-16.035,1,0.058,0.027,1.68e-06,0.104,0.675,115.744,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
6qNQcYitWE3mY2WDaTv6Kc,Caribbean Blue,6uothxMWeLWIhsGeF7cyo4,Enya,6GWptUmmrWPABTWSed7Ow8,240373,2001,56,0.39,0.431,4,-11.647,1,0.0313,0.77,0.954,0.0772,0.682,157.63,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
12qZHAeOyTf93YAWvGDTat,All The Small Things,6FBDaR13swtiWwGhX1WQsP,blink-182,1fF8kYX49s5Ufv4XEY5sjW,168000,1999-01-01,0,0.442,0.893,0,-4.878,1,0.0505,0.00844,0.0,0.529,0.712,148.119,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
1GrikfH0jDejDvrxo84n4P,Together Again,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,6ZANEjETQ9L9pjBuvOAhCQ,301200,1997-10-07,67,0.873,0.593,7,-8.942,1,0.103,0.078,0.00697,0.104,0.495,123.091,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
75CgD6l7K4qMzZrn4CbZqz,Stars,1fa0cOhromAZdq2xRA4vv8,Simply Red,2WOo1KEogmN7MdDMjVCusC,248599,1991,69,0.716,0.818,7,-7.456,1,0.0256,0.154,0.000806,0.236,0.817,103.668,1zMWC6xyvmk9QHVJqzEaoc,OPM Dance Hits 90's
