track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1s4r5fwkBFuFDeUdR1umx7,Bongga Ka Day,4sEykiNSzZbkFkNXTb1bVd,Hotdog,4YHeIyLIYt18RRo97uhpAl,217133,2005,42,0.658,0.766,1,-6.541,1,0.184,0.0103,0.729,0.121,0.605,141.519,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
4oPQ8iwVb7GINpsQ9k1zW2,Awitin Mo at Isasayaw Ko,1JygQfeB7OmzophGsgNwSb,VST & Company,79J197lei8SqgD7U0HVbLc,279333,2009-02-16,0,0.589,0.672,6,-15.17,0,0.0448,0.104,0.000641,0.299,0.878,128.186,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
6u6QRD49NH71kiwNQM1ez7,Sumayaw Sumunod,1WHYTMWSXn7ix7PAO82FEX,The Boyfriends,1vGuMWLzC77OJm4FtNp4v6,197407,2001,51,0.631,0.568,4,-12.701,0,0.117,0.0298,0.000228,0.312,0.845,129.388,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
51jLftm7VULcIwRAphuiYP,Rock Baby Rock,1JygQfeB7OmzophGsgNwSb,VST & Company,4ChhVUHMxacGFpuwEH32eB,230706,2012-05-16,0,0.658,0.938,9,-6.036,0,0.0946,0.175,0.0245,0.315,0.691,133.026,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
5h5u9BTx7TFzXHjryyj63X,Disco Fever,1JygQfeB7OmzophGsgNwSb,VST & Company,4ChhVUHMxacGFpuwEH32eB,215826,2012-05-16,0,0.621,0.762,2,-6.067,0,0.0327,0.534,0.472,0.133,0.847,105.326,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
2t6YiHNBqisNpQp5CtMIKm,Swing,1JygQfeB7OmzophGsgNwSb,VST & Company,4ChhVUHMxacGFpuwEH32eB,255960,2012-05-16,0,0.509,0.822,0,-5.688,1,0.11,0.0324,0.00509,0.261,0.505,132.039,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
5plPOZ4HhPp7HcW2XHZFWb,Pumapatak Ang Ulan Mahirap Magmahal Ng Syota Ng Iba Medley,4RA4PC3WHM9OHZLExirTcU,APO Hiking Society,35ML6QsORzsXHRBYmL5NpD,229386,2008-08-10,31,0.592,0.459,2,-11.194,1,0.0864,0.699,0.000143,0.134,0.538,122.335,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
0wuAxX9bQnOBSy3NnpKyN3,Manila,4sEykiNSzZbkFkNXTb1bVd,Hotdog,0lj9baB3ab3p0tAJMT2Uj2,184146,2008-06-18,0,0.801,0.538,5,-9.578,1,0.131,0.285,3.16e-06,0.112,0.46,115.942,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
75CgD6l7K4qMzZrn4CbZqz,Stars,1fa0cOhromAZdq2xRA4vv8,Simply Red,2WOo1KEogmN7MdDMjVCusC,248599,1991,70,0.716,0.818,7,-7.456,1,0.0256,0.154,0.000806,0.236,0.817,103.668,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
3N47G9kLMXq0edKgXFuc0R,On ne s'aimera plus jamais,07sMHU0vu01xrz1gnNrNry,Larusso,5BXw5K0WzAncb6uMnCrnyW,227933,1999-10-07,48,0.798,0.903,4,-4.555,0,0.0463,0.178,7.38e-05,0.0634,0.96,125.039,3DmMzbjqvZ2PPGlQTZwiDl,OPM DISCO RETRO
