track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7b5uIBjNQTwJMXmKwrQICY,Oras Na,7v09sVaPjdkXyRb78Q1e17,Coritha,6ESdLLKK9uDzDr2Iz8Hdtc,246906,2009-04-08,0,0.461,0.295,0,-12.976,1,0.0298,0.791,8.05e-06,0.185,0.224,130.759,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
2zZNcXLvYeNfVApSyPc1hW,Sierra Madre,7v09sVaPjdkXyRb78Q1e17,Coritha,6ESdLLKK9uDzDr2Iz8Hdtc,240760,2009-04-08,0,0.367,0.25,0,-11.667,1,0.0287,0.802,0.0,0.129,0.352,108.418,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
6iwv5rNakkh17Ga5GfvkYM,Lolo Jose,7v09sVaPjdkXyRb78Q1e17,Coritha,6ESdLLKK9uDzDr2Iz8Hdtc,278506,2009-04-08,0,0.391,0.256,11,-12.181,1,0.0299,0.53,0.0,0.183,0.313,84.762,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
1KaASzGM5mOQDhkNkvJ1MP,Handog,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,219466,2009-08-06,0,0.259,0.487,0,-7.284,1,0.0282,0.108,4.46e-06,0.282,0.197,105.134,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
2zw00KusXD7Hh61nmt2Gew,Pinay,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,223853,2009-08-06,0,0.481,0.46,2,-6.217,0,0.0252,0.659,0.00014,0.203,0.346,100.024,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
4LUzGG1QyZPz4HRvm0TIkB,Tao,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,2bvNAjzaLK41tgvFIcfOlQ,289053,2010-09-08,0,0.478,0.455,2,-11.298,1,0.0316,0.239,0.000193,0.106,0.358,133.394,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
56o6VQxJTThiHm9eqC3JKk,Laguna,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,2bvNAjzaLK41tgvFIcfOlQ,324053,2010-09-08,0,0.41,0.693,4,-10.69,1,0.0969,0.214,1.22e-05,0.14,0.674,141.092,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0qsyF8rhSxSl1wHANNK6kE,Nosi Balasi,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,2bvNAjzaLK41tgvFIcfOlQ,263066,2010-09-08,0,0.507,0.722,9,-10.382,0,0.0447,0.0377,2.37e-06,0.158,0.504,139.859,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
5GuN4lO8XlgIlTxKCH4KWo,Sa Diyos lamang,1KoRj2ZFjBc0xgcgMNBMIX,Sampaguita,2bvNAjzaLK41tgvFIcfOlQ,477026,2010-09-08,0,0.296,0.531,4,-10.597,1,0.0375,0.000878,0.671,0.0913,0.506,187.769,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
7vTbolcxq3WjoQwdHxWjL1,Masdan mo ang kapaligiran,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,249413,2009-06-03,0,0.415,0.632,4,-6.053,1,0.0284,0.751,9.22e-06,0.12,0.628,160.291,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
09J4VoKjCaMiUq9L4pSUVs,Himig ng Pag-ibig,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,254320,2009-06-03,0,0.51,0.417,0,-7.617,1,0.0286,0.661,0.337,0.187,0.286,131.993,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0WoQUd6pagqkABRi4DPvHi,Balita,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,245346,2009-06-03,0,0.62,0.518,3,-6.782,0,0.0341,0.833,0.0,0.0774,0.428,83.555,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
39WqEvV5Qi1AZSj1M65fZV,Itanong mo sa mga bata,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,209866,2009-06-03,0,0.392,0.583,0,-4.679,1,0.0361,0.66,0.0,0.327,0.345,98.13,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
1LXKUBckNwSxsZEAErctgA,Ang bayan kong sinilangan (Cotabato),5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,265240,2009-06-03,0,0.646,0.682,7,-6.078,1,0.0547,0.565,0.0,0.0848,0.464,142.947,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0uGsSxGlwoe6i2QqvZvlmd,Magnanakaw,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,240066,2009-06-03,0,0.657,0.633,9,-6.524,1,0.367,0.238,0.0,0.0978,0.662,146.931,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
1Un1s7fAj2rzoYr4AmaDyj,Gising na kaibigan,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,213880,2009-06-03,0,0.358,0.546,11,-5.465,1,0.0272,0.737,0.000172,0.214,0.314,140.941,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
58X4Q0LgfTvOxF6PXImm37,Tuldok,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,145053,2009-06-03,0,0.564,0.786,4,-6.501,1,0.0281,0.525,0.0,0.089,0.759,83.939,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
3Z9PwF0geKN5aSnWGykevr,Hangin,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,248813,2009-06-03,0,0.327,0.518,9,-5.887,0,0.0293,0.225,0.0,0.27,0.0668,138.655,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
5VJp1SY7oiwW1P6m5YVNEm,Pitong gatang,6o5IZ8fYItq1MqqfKLHFOp,Fred Panopio,37RIPQ6XxeQnfv0c22ZH4m,182640,2009-03-06,0,0.75,0.481,5,-10.347,1,0.0345,0.543,6.17e-05,0.0985,0.924,111.378,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
70WRcgdIIehraOjDonOhx9,Kawawang Cowboy,6o5IZ8fYItq1MqqfKLHFOp,Fred Panopio,37RIPQ6XxeQnfv0c22ZH4m,183986,2009-03-06,0,0.733,0.474,2,-8.847,1,0.0282,0.319,0.00238,0.145,0.7,114.011,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
4pRER3Xv0YgFARz6I6Rzuo,Turistang Bilmoko,6o5IZ8fYItq1MqqfKLHFOp,Fred Panopio,37RIPQ6XxeQnfv0c22ZH4m,229933,2009-03-06,0,0.88,0.492,3,-9.701,1,0.0427,0.197,7.4e-05,0.0924,0.833,113.882,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0iZw6MCB3Qc9yIL44p8IHj,Ako'y Pinoy,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,148520,2009-08-06,0,0.477,0.569,2,-7.332,1,0.0294,0.0498,1.16e-05,0.137,0.538,127.531,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
29VPk45xR5fDEsLUPGa1gU,Kahit Anong Mangyari,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,1zJ8IgZXaJCoT2K16RwsbY,226000,1992-07-13,0,0.619,0.502,2,-14.548,1,0.0688,0.173,0.0,0.368,0.891,117.029,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
4iR5nsnj5YWp3A8AMdcXZU,No Touch,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,1zJ8IgZXaJCoT2K16RwsbY,161666,1992-07-13,0,0.548,0.485,6,-13.479,0,0.22,0.177,0.0,0.252,0.906,165.281,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
2cpFyWDtrCshpNzpBi4h0P,Himig natin,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,1VjN1SV5s4GZ4AnqUjXKct,335440,2009-02-13,0,0.453,0.389,4,-7.024,1,0.0278,0.876,0.657,0.113,0.331,124.167,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
5UuGNWrCEf2wXozlfjk285,Kumusta mga Kaibigan,0zKwr7JUMKsZyOcx6citLx,Maria Cafra,1VjN1SV5s4GZ4AnqUjXKct,176040,2009-02-13,0,0.517,0.806,2,-4.588,1,0.131,0.187,1.85e-06,0.362,0.748,134.655,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0yejf3FTBEmL0msM7edC57,Usok,5pCBpmm3HT6lxqTFG2kYUr,Lolita & the Boys,1VjN1SV5s4GZ4AnqUjXKct,206973,2009-02-13,0,0.737,0.818,5,-6.14,1,0.0522,0.546,0.000117,0.232,0.932,147.188,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
3XOcpoQ6cdH886v7pCHPgU,Tayo'y mga pinoy,03LSqHpsxetHuUyHGhtAeA,Banyuhay ni Heber,1VjN1SV5s4GZ4AnqUjXKct,264720,2009-02-13,0,0.285,0.668,11,-7.419,0,0.0766,0.349,0.0,0.176,0.423,82.878,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
1G5iOoOkiEYD4MxSQjY5zm,Magdalena,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,0h4z2UpgZFJ6d1WEXdD8If,244413,2001,0,0.622,0.542,4,-8.229,1,0.0277,0.613,5.49e-05,0.234,0.446,135.14,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
39QIwYS3Esu37BJRJ7xfXe,Mindanao,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,0h4z2UpgZFJ6d1WEXdD8If,244960,2001,0,0.696,0.634,0,-10.07,0,0.0492,0.423,0.000706,0.0688,0.641,79.875,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
6x07EAjy8QfU0vYQt59TJU,Rosas,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,5dYA4TntH17msfpsF9cdqf,260866,1995-01-01,0,0.649,0.369,5,-12.943,1,0.0263,0.709,6.3e-06,0.167,0.54,98.535,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
5DPlHU9Rc6Xv0jeHc05vg1,Pinoy,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,2vJriDbGTUFxBA3AGTIpWJ,189077,2002-08-07,0,0.807,0.685,1,-9.33,0,0.0381,0.305,9.13e-06,0.0684,0.961,139.504,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
3gadtQlUu5cy1L1NQeJmeM,Katarungan,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,2vJriDbGTUFxBA3AGTIpWJ,231996,2002-08-07,0,0.727,0.531,7,-9.98,1,0.0296,0.229,4.78e-05,0.0636,0.914,90.468,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
2V4LdQO4weDYsuGzmchgZ9,Luzviminda,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,2vJriDbGTUFxBA3AGTIpWJ,186360,2002-08-07,0,0.724,0.311,2,-11.454,1,0.0327,0.691,0.0,0.0845,0.636,115.571,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
7BC76wnEPpzQKnrQJE1IxU,Ikaw,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,2vJriDbGTUFxBA3AGTIpWJ,162928,2002-08-07,0,0.691,0.426,4,-10.13,1,0.0279,0.711,0.0,0.271,0.562,116.62,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
4CPi5euAuWAWdfOalamR5a,Higit Sa Lahat Tao,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,219733,2009-02-04,0,0.493,0.523,8,-13.859,0,0.0451,0.686,0.143,0.107,0.646,92.675,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
7vJtbGUo6GdqyPWeZtxjVW,Magbago Ka,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,187373,2009-02-04,0,0.586,0.314,0,-15.062,0,0.0368,0.51,0.00107,0.0724,0.193,128.749,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
6W1etU1dMBrWJG9kzHpa3m,Kinabukasan,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,210066,2009-02-04,0,0.49,0.432,7,-14.417,1,0.0395,0.48,0.199,0.137,0.552,147.234,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
5LSmOvIItI9hsV5ord97v7,Problema,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,193226,2009-02-04,0,0.575,0.48,10,-14.158,1,0.0314,0.107,0.000179,0.205,0.762,142.169,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
4FTdUDWVsRefgdPxnYxxij,Bayan Ko,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,211333,2009-02-04,0,0.327,0.19,0,-19.333,1,0.0326,0.891,0.216,0.137,0.303,136.554,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
6kTQA13Ja22H5GLlhuTfzs,"Bulag, Pipi at Bingi",7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,228933,2009-02-04,0,0.33,0.337,7,-14.591,0,0.0333,0.755,0.0114,0.0967,0.578,154.796,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
3Ugsfia81oly6whpd2ZKYq,Buhay Nga Naman Ng Tao,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,194973,2009-02-04,0,0.583,0.332,8,-16.78,1,0.0389,0.835,0.0413,0.0813,0.138,79.264,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0d1Xo7PaAnQ0raxAYm0bEm,Alaala,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,239333,2009-02-04,0,0.572,0.0748,8,-19.551,0,0.0386,0.907,0.00944,0.173,0.288,122.508,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
3FGux2JrmIT4GP8ZSE5dst,Pulubi,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,222226,2009-02-04,0,0.472,0.275,8,-14.545,1,0.0297,0.386,0.234,0.147,0.395,106.892,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
1LaozxEyjKyjgLLsz5SDSo,Buhay,7fihhreD4v29FQsWykhCJm,Freddie Aguilar,1RjVgtXi6Qngja8mnZpbPt,174440,2009-02-04,0,0.444,0.443,5,-17.826,1,0.0334,0.255,0.00965,0.12,0.597,80.093,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
52yD7wTWdCkvZTynQZ2iFb,Himig Natin,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,0hMldzmhEeMvFD0yhixIno,337173,2008-03-07,0,0.44,0.205,4,-15.288,1,0.0324,0.901,0.6,0.114,0.282,124.81,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0uL3eq2rqafFgKB6iNMr76,Balong Malalim,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,7DEmJuYG1Hw9B5gGrO6tjo,155893,2008-03-07,0,0.666,0.806,2,-7.262,1,0.0489,0.0356,0.00734,0.135,0.875,120.031,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
6XWYchhMPKSBIzyQ9g5hBl,Beep Beep,6oDv9jvnizh7RgEHbOwxLK,Juan Dela Cruz Band,7DEmJuYG1Hw9B5gGrO6tjo,273560,2008-03-07,0,0.476,0.699,9,-6.475,1,0.11,0.00581,0.00367,0.0794,0.495,112.899,3TkdlgbVJ1eHcduecWhSnJ,Best of OPM Folk Rock/Country
0cgFMrEnkSbLhkXU4odNUW,Pagbabalik,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,231000,2009-06-03,0,0.454,0.459,4,-5.31,1,0.0276,0.0157,2.04e-06,0.354,0.197,144.199,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
6ld2RRRQqxSCU0HQCePHxL,Ang buhay ko,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,162560,2009-06-03,0,0.365,0.685,3,-5.524,0,0.0321,0.378,0.00494,0.138,0.459,169.81,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
4IgjfIQn7GftIdB9zvc7E4,Kahapon at pag-ibig,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,280080,2009-06-03,0,0.51,0.417,0,-5.762,1,0.0309,0.682,4.64e-06,0.133,0.608,131.595,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
7z3qr2UBK9i47oIOIOgcO6,Pag-asa,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,267200,2009-06-03,0,0.443,0.35,0,-8.627,1,0.0312,0.802,0.471,0.111,0.127,117.005,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
3B5N8kDyzQnajUB13pKhI1,Sayang Ka,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,187346,2009-06-03,0,0.643,0.752,2,-4.507,1,0.0292,0.493,7.28e-05,0.308,0.763,97.625,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
2t9oLq3bZjylumJYm1DuTx,Ang Mahalaga,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,216386,2009-06-03,0,0.6,0.353,2,-10.572,1,0.0325,0.708,5.97e-05,0.121,0.173,125.252,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
2LpGo51xIPcxtdY7YqU5mU,Anak ng sultan,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,187293,2009-06-03,0,0.519,0.675,7,-4.89,1,0.0277,0.746,5.85e-06,0.102,0.332,130.509,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
5KBkk6rV0eNJwLbMwBvq1o,Mga limot na bayani,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,161160,2009-06-03,0,0.462,0.688,2,-5.85,1,0.052,0.621,0.0,0.285,0.28,115.047,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
2mlanBJ7VxIQmZzp3Ytgqp,Sandaklot,5pbdyhkEpMobD6Fs6h729Q,Asin,2kUiyqaVqNYJPWHgwk7fHf,149240,2009-06-03,0,0.66,0.786,9,-6.241,1,0.0694,0.142,0.00121,0.0544,0.558,113.58,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
2r12E1JtujRGPuikXR37YH,Musika,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,165333,2009-08-06,0,0.583,0.738,2,-5.757,0,0.0318,0.282,0.0,0.45,0.424,128.966,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
3pxFFjGDyExtFsA5uYB7th,Digmaan,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,229600,2009-08-06,0,0.386,0.729,9,-6.112,0,0.0397,0.0141,7.8e-05,0.3,0.574,149.226,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
3DEshvj3bOg3rWDHdcFtkP,Daliri,14xDeJRwQRbJIaSBikR4KH,Florante,6vSMthGtk4jo3BPINmhNpA,154720,2009-08-06,0,0.429,0.573,4,-9.024,1,0.0272,0.202,1.37e-05,0.209,0.592,130.019,2BzvfSU17YEFEOmNgq1yNv,opm folk songs
