track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0BaMZMMEG7GWrUYsoGw8Yg,Neneng B,0,358015,"['3lFMRWaEWZlfXdBig97kks', '060TqET6tyyfAQLXDyIDD8']","['Nik Makino', 'Raf Davis']",2,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,65,214606,"['0iqkVK6sTXi7DZWWOeKy8Q', '117XFtbZPnCI1EYKjYZWJc', '5xOvrnVpLjzfGi69GDlzQY']","['PDL', 'Skusta Clee', 'Yuridope']",3,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
13XPTzPpWtB8eRfKyVLmBc,Bakit Ba,0,269609,3lFMRWaEWZlfXdBig97kks,Nik Makino,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
0BkKdJSpKqzYLEneerSHq3,Mau,53,267013,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
3u9tIlAnygQGNJ5VuSvTfi,Bagay Tayo,0,397033,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,61,304664,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
4YMfE4r1JWADFw2Fn74XW2,Catriona,55,204512,1SrWbIDP84JcSDr0oTBAQw,Matthaios,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,58,268486,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
0dXNdqwr95JqHfNV5r0yo5,Pia,20,223800,"['1My8k9XMR2leufMP9LPNmT', '49By2rPqqs52p1PR07Qcg5', '45fHsZfE2Sp1vDI1uA4CvW']","['BLYMLDT', 'ANGELO', 'BRYC']",3,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
5bSvsXRBUjGe8pGScU0hPz,Ivana,0,246550,2EGJbNf0Hva2C2N6hvhMXD,Soulstice,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
1iV24xOkfxyD2Jb0NCC1Fj,"Come with Me (feat. Bosx1ne, Flow-G, King Badger & Jroa)",52,340606,"['2iB7AJhJmkWkkehY9ccB0j', '3xbpJdoJDLAfYn3ZeLlukg', '3PDFGpPl4ienSn5Vwisfrh', '71hhKLR9oCOsHLdRIoQ5OU', '2U5mF0PZqGu6glnz55yY0y']","['Ex Battalion', 'Bosx1ne', 'Flow G', 'King Badger', 'John Roa']",5,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,62,341573,"['0iqkVK6sTXi7DZWWOeKy8Q', '117XFtbZPnCI1EYKjYZWJc', '0uD1WQbTE0pNDiJe0iGEaU', '5MfvrLwRcs98YwS3C9Uf1u', '5xOvrnVpLjzfGi69GDlzQY', '3PDFGpPl4ienSn5Vwisfrh']","['PDL', 'Skusta Clee', 'Jnske', 'Bullet D', 'Yuridope', 'Flow G']",6,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
6BZLjTOKBPqhq4xpOLkjrp,Nandyan Agad Ako,2,240178,"['2iB7AJhJmkWkkehY9ccB0j', '3PDFGpPl4ienSn5Vwisfrh']","['Ex Battalion', 'Flow G']",2,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
0yRXPoZx4gkGUYDqNwEGOM,Marikit,0,263333,"['6kyw9sh7ryjy1GQdPYH3Yd', '1EMaB1ZnRpeXWruJZMtaUa']","['Juan Caoile', 'Kyleswish']",2,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
5jLUKFlEJzOf6b6PCaohFI,I Want You Back,53,265247,"['1SrWbIDP84JcSDr0oTBAQw', '3WyQJx169swY8v3htgAqaK']","['Matthaios', 'Calvin De Leon']",2,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
5hCJIUsAqjKFlvKrvCcUIb,Need You,63,354071,"['3xbpJdoJDLAfYn3ZeLlukg', '2U5mF0PZqGu6glnz55yY0y', '117XFtbZPnCI1EYKjYZWJc', '3uWiJPiieoALNDN6Ak3jtd', '3PDFGpPl4ienSn5Vwisfrh', '5HFNP1mrnemxa4WQHesFyt', '4e52OjekZlQYZn9GqKJASY']","['Bosx1ne', 'John Roa', 'Skusta Clee', 'Emcee Rhenn', 'Flow G', 'Bullet-D', 'Kent Mnl']",7,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
3sWLOFGI7dNN6YBM1m1RKB,Miracle Nights,4,374117,"['0WleeEe3UurwlNbDGhb5Yz', '58DoiT68nhZoGfdiIZiiUw', '4mHU0bUvlVfiq0oarPYlAn']","['ALLMO$T', 'L.A. GOON$', 'Peso Mercado']",3,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
0G5qmu4TsdUH19zdcbI9Ui,Vibe With Me,58,139180,"['1SrWbIDP84JcSDr0oTBAQw', '2qm7ZmuzLVRcaQgeYxXZdT']","['Matthaios', 'Lonezo']",2,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
7MrDfa1uQGVXx0JMZ2u5tN,Hayaan Mo Sila,56,367229,"['2iB7AJhJmkWkkehY9ccB0j', '00xU4wfephkJrjwJPDvfkf']","['Ex Battalion', 'O.C. Dawgs']",2,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
1x7DysraeqSgVgj95hHc3U,Araw-Araw Love,58,211278,3PDFGpPl4ienSn5Vwisfrh,Flow G,1,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,59,254139,"['3r0NbTTxtCBUyxcIR4prXr', '6EJq8HkmiNvcbGyKGNs43M', '1mu7fvV0tXEx4O3NROKgze', '0lLCFkAncltHh96BcwLU0b']","['Jr Crown', 'Kath', 'Cyclone', 'Young Weezy']",4,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
493h85YXHYDKA9jXhUxajA,No Games (feat. King Badger & Skusta Clee),51,329432,"['2iB7AJhJmkWkkehY9ccB0j', '71hhKLR9oCOsHLdRIoQ5OU', '117XFtbZPnCI1EYKjYZWJc']","['Ex Battalion', 'King Badger', 'Skusta Clee']",3,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
7HInAqptuH6G86hfYgez9g,Dulo,0,228038,"['0WleeEe3UurwlNbDGhb5Yz', '3HasgIoeo67ahsXOgOguiJ', '021sXp6RH5MQCCp2hmal6q', '4KJaRpxinPqfXjN3s4G4vX']","['ALLMO$T', 'Crakky', 'Jom', 'Clien']",4,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
6LJ1p1h5EcMK4VPeCLDSoF,Nadarang,67,232960,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
4qTaV7JnqMNHh6foPAA64D,Marlboro Black,0,206968,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
4I6USv2oAifesSiwDmI5Cn,Ubasan,0,303870,588A4Z6QZweMiQKi3CPngv,Stick Figgas,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5sLGYJOhLP197nmkaRMMEH,Ngayong Gabi,66,267456,2G7VQ1kVhVfNagytlousgm,Al James,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
1bvPjHWOc5C8nHkw5U2Vb4,Pa-Umaga,0,189019,2G7VQ1kVhVfNagytlousgm,Al James,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0KeZ6mv7rL5wfF7TuxSUdk,Pahinga,62,223584,2G7VQ1kVhVfNagytlousgm,Al James,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5sSmsk6I2P6SjwHRHajbo4,Sandali,0,269217,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
73ZDhwvmEM72Xk7qmiJj8f,Outthrow!,44,336893,"['6ogIjp0fsbUxlqy9q2rvrT', '4C6r5TXG5Y5UHCmCAP8Ref', '6MNb9lLrmPvgYIJG8AvcjD', '0XJEAVpl5TpB01e8olyOIU', '6UZMHXXkZpyOZjI88yED2X']","['Shanti Dope', 'Bawal Clan', 'Baryo Berde', 'Owfvck', 'Droppout']",5,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
1qiAIZc9uetnepTRkSaXvR,Platito,0,204200,6eGQ0qPUlGBjmRgyQ84g3f,Ron Henley,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
4eoX69vy1SgJfCiFrwf5jx,Venus,0,323720,"['6eGQ0qPUlGBjmRgyQ84g3f', '1O5apWv8xRb6YbHu7E0Tu6']","['Ron Henley', 'Yumi']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0NDEI4Xz2rXFXUD9mL1qgC,Hagdan,0,256946,"['6eGQ0qPUlGBjmRgyQ84g3f', '0hGiOkzVosPWzO8QDf2wDD']","['Ron Henley', 'Kat Agarrado']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
2ATlxy4UImFBJlHFQMSAst,Norem,49,284386,"['6ogIjp0fsbUxlqy9q2rvrT', '7HJDRQAfEcFiARVehhM6qD', '74yfTxb5doXjUcv0g1DaMi', '4p98lByTS8r4eAqsfRAJsc']","['Shanti Dope', 'Gloc 9', 'Abaddon', 'JKris']",4,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
1nIQVdsw5WeSO4LK0S3zBF,Materyal,59,246960,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5dm0fMgFi4d6S5ApZWSJ5G,T.H.,36,233293,"['6ogIjp0fsbUxlqy9q2rvrT', '4WJCJZRGkpfyOS6cYczOkf', '0nEYpGBnXuz3uGhAeEXwo0']","['Shanti Dope', 'Taggsign', 'Zjay']",3,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0CqhuKgDSjK6n87YXiG3dr,OTW,0,229929,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5lr8cQJYZ6QPHGMDak7SGM,Gilid,0,252413,"['0n4a5imdLBN24fIrBWoqrv', '4MX8TDXjG2zLcfaaYtDMJC']","['Because', 'Kris Delano']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5l5iWagbnfG3QsLwC4GkRy,Iladnasanwakan,47,288940,"['6eGQ0qPUlGBjmRgyQ84g3f', '2G7VQ1kVhVfNagytlousgm', '5ncns3fZ0Ftg9vL4dD06Zm']","['Ron Henley', 'Al James', 'Chen Pangan']",3,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
7rly4palxHC04MRxsTMrdx,Akin ka nalang,32,207307,4NslYs4dIwJjyAmfak2Yc2,Lipip,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
1G5Iks72L9qOfcqY2IwgaJ,Parisukat,38,325542,588A4Z6QZweMiQKi3CPngv,Stick Figgas,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
4O9hYZGNSrj1oQpV8ZUrTi,Posse,43,372088,"['4e4flHlMWdF3KOADVBTMXo', '02PdZGnvNwQs7bJ7BLDpvK', '7xLdWx1ZNY9LnvPZo7BbS3', '4Ju0p7pUVvKHLnNZgy0yCW', '45OOmGg2Dm7dbqZ5aLpssW', '5BiH3cDOIyyAQixJ0JcyNw', '2wqOlT40J9tTBJwagecwvp', '5nArwxGolJARyZ6YhtCovi', '5u3klMFZzWEHSQWbmLnRD6', '3p5RE0gW2l4oFW82SgMv29']","[""Kartell'em"", 'Sica', 'Ne7in', 'Jwuds', 'IDSG', 'Wavyier', 'Nickname', 'Yorko', 'Aftermatt', 'Waiian']",10,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
43f4IDYX69ZwaNKI6sJRLW,No Wifi In Hell,29,207327,"['4e4flHlMWdF3KOADVBTMXo', '3p5RE0gW2l4oFW82SgMv29', '5BiH3cDOIyyAQixJ0JcyNw', '5u3klMFZzWEHSQWbmLnRD6', '2wqOlT40J9tTBJwagecwvp', '5IjfsY5Bq0wTWqqV6Ng2zM']","[""Kartell'em"", 'Waiian', 'Wavyier', 'Aftermatt', 'Nickname', ""O'neen""]",6,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
2iTFhZ9LGwcmeclvm3V7Mm,Donat,38,198336,"['4e4flHlMWdF3KOADVBTMXo', '7xLdWx1ZNY9LnvPZo7BbS3', '5u3klMFZzWEHSQWbmLnRD6', '5BiH3cDOIyyAQixJ0JcyNw', '5IjfsY5Bq0wTWqqV6Ng2zM', '3p5RE0gW2l4oFW82SgMv29']","[""Kartell'em"", 'Ne7in', 'Aftermatt', 'Wavyier', ""O'neen"", 'Waiian']",6,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
4yR60sE7YQJrdkjBO9ZPHq,Urusai,19,196487,"['4e4flHlMWdF3KOADVBTMXo', '02PdZGnvNwQs7bJ7BLDpvK', '5nArwxGolJARyZ6YhtCovi']","[""Kartell'em"", 'Sica', 'Yorko']",3,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5idk5AbAoxCCx3nnRe4Ehy,No Drugs In Heaven,41,214639,"['4e4flHlMWdF3KOADVBTMXo', '5IjfsY5Bq0wTWqqV6Ng2zM', '3p5RE0gW2l4oFW82SgMv29', '7xLdWx1ZNY9LnvPZo7BbS3']","[""Kartell'em"", ""O'neen"", 'Waiian', 'Ne7in']",4,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
3bO5wkcXp260ZF7kXjOuwe,You Can't Do It,35,181544,"['4e4flHlMWdF3KOADVBTMXo', '5IjfsY5Bq0wTWqqV6Ng2zM', '3p5RE0gW2l4oFW82SgMv29', '5BiH3cDOIyyAQixJ0JcyNw']","[""Kartell'em"", ""O'neen"", 'Waiian', 'Wavyier']",4,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
2KoWHNtJrbE0WxWfQjYjyu,Urong Sulong,0,267049,"['4HPuFCMUiNcV4f3ew0flbZ', '6gcteR920pLEynlHzjSRYd']","['Alisson Shore', 'Kiyo']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
53KBJe90rbY3NDa8UMjl8G,G,6,289567,"['6gcteR920pLEynlHzjSRYd', '5ggyFlkf7NXMnw57ArMOAW']","['Kiyo', 'Space Moses']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
59aZ0ioyVrmtdut1KfU5aT,Amatz,52,234374,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
3GJKwh1JcmSnLmmq611qNX,12 AM,48,176065,3p5RE0gW2l4oFW82SgMv29,Waiian,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0Fak0BCePEYQzfApLLKPIc,"Pantalan, Pt. 1",7,270602,6gcteR920pLEynlHzjSRYd,Kiyo,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
1RvyIKCEnk791GHf3RLNmD,Co-Pilot,1,250000,"['3KovZIDNYgQY8chiNZo2ZF', '1r5cXPqjg3R4Q1FpKG1UJs', '6LCHWj94a1aMMGf3L3CVhx']","['Just Hush', 'JOLO', 'Rjay Ty']",3,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0QDJGf6Wo4cCbBVn4g8D4d,Sakote,48,289083,"['7o1cM5psPSV3rxsv9JwjDm', '641Pd0RfQQ81mnWu7Vlb8v']","['Awie', 'Gat Putch']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
6n3Gi3BouWAH10htZvbOrg,Babyface,0,180000,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
65Qa01OZqst7IURcRNJiC6,Ice,0,243902,"['6Poadk0ypYVBgNL07PNYVD', '5WbLqVG6mBtABY6gKtR44k']","['Acdmnd$', 'NahmeanNamsayin']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0op8nJWeyVPfDVZrSoYWaH,Direk,0,265263,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
2xwBsjYdkdUSQGVsjVNC3G,_HERE,35,243203,"['34Kex8JSfMcDFqILq2vX0x', '3p5RE0gW2l4oFW82SgMv29']","['RuiijiKun', 'Waiian']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
2fh1EtVIf8U0Xu8TiSFUot,MaoyEncore,3,217887,6SATKmQLDhwHRDzc4yiSbp,Tatz Maven,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0W3Pzmw0aboteuzGWHuONY,December,0,225306,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
3Cpf15DRVtYkeFjWwIa2uV,Zoom,0,188714,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
3S5oHM4aIvl7Nm74MGkRhF,Pastulan,0,275454,"['1oXIIFriuwBzQOqQW3Znhd', '3KSsd7q2gnKFs74J4BEH6p']","['Nero', 'Lanzeta']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
37af59981IbOWxP0GdDBTp,Marlboro Black 2,0,241818,0n4a5imdLBN24fIrBWoqrv,Because,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
4prPXybgHnct2lHj7IkqVE,Smoke Break,26,197198,4MX8TDXjG2zLcfaaYtDMJC,Kris Delano,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
5DeFtXwPfcBwPQZKkG6OHE,Eba,26,218880,6gcteR920pLEynlHzjSRYd,Kiyo,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
011GTFfE8rqTRMhz5g8IAW,Repeat,70,230000,"['2G7VQ1kVhVfNagytlousgm', '6LCHWj94a1aMMGf3L3CVhx', '4QF8kneXYqRCYtjt0Xcs5z']","['Al James', 'Rjay Ty', 'Lexus']",3,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
6A1hEtfkFfS5MLucvpqzrn,Paninap,33,375464,1oMGBtjp3L1APEZEXQoMP1,Flow Minister,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
2oupN96VwNrbONyMtTWGjH,MOON,75,211776,"['3lFMRWaEWZlfXdBig97kks', '3PDFGpPl4ienSn5Vwisfrh']","['Nik Makino', 'Flow G']",2,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0XfEJcbDfXVpEkVc1kTXUZ,DAB - Leaked interlude,42,165773,4NsbfTEC3nOcc0vOpZ1rRc,HELLMERRY,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
7jbzZciq0LBierUK8aeD5u,Anghell,44,259764,4NsbfTEC3nOcc0vOpZ1rRc,HELLMERRY,1,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
0nc6bcL3OWCCe59FgqJLcf,Akala Mo Ata,47,295672,"['7uLLuIq9kGbv2g9YMG2Itb', '14AlQdTUuzYESzQYKU6QIE', '5uAsswJzvxQYPzoeVDbUX9', '57yOAX6apIrclpBG736Uy2']","['OLGANG', 'Nateman', 'Realest Cram', 'CK YG']",4,2O5ICS99sf6CReoPODffXf,Non-Jeje opm hiphop
