track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0BaMZMMEG7GWrUYsoGw8Yg,Neneng B,3lFMRWaEWZlfXdBig97kks,Nik Makino,6sPZB93WloDhOq8PDNJ7UD,358015,2019-05-15,0,0.848,0.447,5,-10.56,0,0.078,0.24,0.0,0.0858,0.353,117.959,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,0iqkVK6sTXi7DZWWOeKy8Q,PDL,79UXZq6nXVVBpZgWWxb9Gq,214606,2018-09-26,65,0.595,0.57,5,-6.232,0,0.12,0.104,0.0,0.0899,0.721,84.929,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
13XPTzPpWtB8eRfKyVLmBc,Bakit Ba,3lFMRWaEWZlfXdBig97kks,Nik Makino,3AJQxCvbthwcS1zgkjHjA0,269609,2018-08-06,0,0.836,0.448,9,-12.922,0,0.0961,0.231,0.0,0.128,0.468,134.082,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
0BkKdJSpKqzYLEneerSHq3,Mau,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,3azHsuEOzhMum29QnZUDqK,267013,2017-12-22,53,0.825,0.76,4,-5.286,0,0.0352,0.154,0.000346,0.079,0.537,125.069,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
3u9tIlAnygQGNJ5VuSvTfi,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,7EyFdHaGHh73lOZz1zuFTe,397033,2018-12-04,0,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,4AaygWd1ZnCzZ4ak9EM23s,304664,2019-07-26,61,0.677,0.433,8,-8.518,1,0.037,0.545,0.0,0.105,0.498,134.006,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
4YMfE4r1JWADFw2Fn74XW2,Catriona,1SrWbIDP84JcSDr0oTBAQw,Matthaios,6epJqGK57I0W0PMN2kyTso,204512,2019-12-01,55,0.71,0.388,5,-12.106,1,0.0545,0.67,0.0,0.177,0.759,114.858,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
2tR5liucorXRwduxr0qEx6,Binalewala - Original Version,6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,1793zMKn7sOceKYWdN7yQX,268486,2019-10-07,58,0.501,0.57,10,-6.49,1,0.0337,0.569,0.0,0.0649,0.311,139.516,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
0dXNdqwr95JqHfNV5r0yo5,Pia,1My8k9XMR2leufMP9LPNmT,BLYMLDT,1f8g7c29pJBsWErSWzNDmq,223800,2020-01-12,20,0.84,0.631,3,-8.391,1,0.118,0.474,0.0,0.0923,0.66,100.011,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
5bSvsXRBUjGe8pGScU0hPz,Ivana,2EGJbNf0Hva2C2N6hvhMXD,Soulstice,2zrFpbXrA54V8lCCQQhQRA,246550,2020-01-06,0,0.871,0.48,8,-7.441,1,0.3,0.274,0.0,0.0531,0.609,100.021,332K1XCu99rxsTmEa6IJJL,OPM hiphop Hits 👌
