track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
6CHpr3pY2MbJ5y1076UDnI,The Day You Said Goodnight - Acoustic Version,6Ww3OMFzCaO33ulKh1LBFN,Hale,5www5PCOdkBpuNCanxeo6L,328533,2006-02-26,55,0.424,0.221,4,-9.279,1,0.0351,0.882,0.0,0.134,0.299,125.964,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
4N4SnTk6rQbLAcARYnjGD9,Kung Wala Ka,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,242848,2005,55,0.5,0.343,7,-7.367,1,0.0261,0.702,0.00114,0.113,0.155,136.28,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
2VNjWwKlOWU5qqKa5EquLW,Kahit Pa,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,235952,2005,59,0.393,0.797,4,-5.736,1,0.0434,0.276,0.000299,0.162,0.575,148.328,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
3H74L29kR0eS6wVhnP4KrE,Blue Sky,6Ww3OMFzCaO33ulKh1LBFN,Hale,472GgeFZaCdRLcL3cT0IAn,286995,2005,65,0.596,0.479,4,-6.49,1,0.0338,0.344,0.0294,0.072,0.358,75.098,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
599lu64vezGr99lHOVYjbG,Lost Stars,6Ww3OMFzCaO33ulKh1LBFN,Hale,5rf19zCqH1ApwFoDHYXsAP,279351,2015-06-23,39,0.518,0.199,0,-12.298,1,0.0328,0.868,0.0,0.0857,0.22,137.913,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
2naBC3Io7lDTYZEUHu34Or,Back To Me,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,0aesFsBOaeljPfH76CsrN1,264466,2006-08-16,54,0.555,0.467,4,-6.811,1,0.028,0.108,0.0,0.089,0.148,81.064,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
6eYuYqJ9IqYWbH8rFhm7jC,Can't Let You Go,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,289733,2005-06-09,52,0.627,0.445,2,-6.683,1,0.0242,0.564,6.46e-06,0.0596,0.355,91.999,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
6s97fltVQXax4ZFkZJdGdP,Ulan,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,309066,2005-06-09,58,0.235,0.519,11,-5.691,1,0.0341,0.588,0.0,0.118,0.0909,171.38,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
1jImST6hhs1EV45p78RBpM,Stay,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,235706,2005-06-09,61,0.306,0.494,9,-7.748,1,0.0287,0.0211,0.0,0.0972,0.161,157.224,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
36TmbWEYoNKtAk91ch8aY7,Sorry,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,282280,2005-06-09,48,0.314,0.611,4,-7.088,1,0.0268,0.238,0.0,0.265,0.437,167.354,1CYMtIS2dpX5nd5ShiLwXE,OPM Hugot
