track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0Db9boWr16PaToiOAhyqK0,"Irreversible, an Intro",6gu8r4EJnnz8wAdJFNC2Yh,Moon Mask,5VlF3yn28H2Fc81PMlBgiW,84000,2016-11-21,0,0.472,0.678,5,-13.908,0,0.0379,0.932,0.945,0.117,0.695,119.989,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
55goRIHcTRQmAc6cVtEfab,Kalachuchi,4eKq7eArL96wSQjaaMg9Ic,Munimuni,66eka48nAIbqZ95vx3gyRD,436435,2018-12-01,42,0.358,0.354,2,-9.404,1,0.0293,0.222,0.256,0.0878,0.0951,112.059,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
4rbEyQ6IRl1WOs6oTCoiEI,Walls,3ynhJYCpZHsAXeYH8ojjdt,Capacities,2WPeiHJ6984bYzAYDafGTq,316134,2018-03-09,11,0.589,0.409,8,-11.761,1,0.0274,0.0113,0.45,0.0742,0.412,111.973,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
6qy9EbMjG4mL2Mdnu93U1G,Appalled and Disgusted,5sdQNqSnfbxVicAeZfY1Q8,Loop,2Jcjrwso1tN2vsOBzzprou,281359,2014-08-18,0,0.579,0.592,2,-8.303,1,0.0264,0.111,0.478,0.101,0.61,89.855,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
1QACs2dLrAFsOd4sSYerfE,Keep Dancing,78olBTx3VYwOvLDgPJCO7C,Caffeine and Taurine,3iRMADBikVIFMKd0Sg1qMk,304000,2017-03-29,10,0.511,0.354,2,-12.806,1,0.0297,0.0401,9.2e-05,0.128,0.573,180.035,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
1Khka3a2yImLYwlQ0m6mdN,December 2 Chapter VII,3R1Wpuy9HggfVVXkiZlxkA,Taken by Cars,4Y8XOK14tIvvMnNptpUunR,291253,2008-03-08,22,0.236,0.937,9,-3.643,1,0.0666,0.00189,0.681,0.292,0.487,149.839,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
4TPOKbbtzIK88ns9pza0s0,No Tomorrow,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,7aMzl1XjurXEdqI1XqWFD8,183507,2017-05-16,0,0.646,0.511,9,-6.728,1,0.0373,0.772,0.0,0.435,0.524,92.029,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
0GfTPGVwN2NlFwCeEZEUkj,I Don't Even Mind,53EF6PS4UcQwjNrpaE0968,Banna Harbera,5QgpJzH2CpeAMZSRY1YRRR,245445,2016-06-03,13,0.734,0.666,0,-4.481,1,0.0315,0.202,1.59e-06,0.067,0.702,94.015,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
0MCPPARwas3iMZxTyhbJcI,Minimize,2JqqCQCcocEQA6NH1fTvSw,B. P. Valenzuela,2ty1YlXY1wjumCq9troSit,244137,2017-08-26,28,0.754,0.604,6,-7.578,0,0.0363,0.399,0.00143,0.0616,0.796,87.013,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
54wK2CylkimtKLj7hHhY6Y,The Place,0nCoqsGJKh4e9m3WyU5dxM,Honeydrop,5zWZ8cl7lfdbajVQoFc9tA,266200,2014-04-24,0,0.532,0.748,9,-6.086,1,0.0309,0.189,0.0646,0.0965,0.394,149.999,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
4u8RkgV6P4TLi89SmlUtv8,Mundo,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,2p6QlBCrnKwUFC0wPN1kfV,349713,2018-02-14,69,0.705,0.401,6,-8.9,1,0.0376,0.176,8.66e-06,0.0735,0.481,140.031,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
71WYJ4aNI2cbIav1FzDm9m,Piece of Mind,29zSTMejPhY0m7kwNQ9SPI,Lola Amour,7aMzl1XjurXEdqI1XqWFD8,93065,2017-05-16,0,0.754,0.268,9,-7.827,1,0.0335,0.325,0.084,0.133,0.513,119.225,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
23rRZgIgmf1xM0Aieun99h,Leona,5JKO1slXmXcPZghqTrYG1I,Carousel Casualties,4SZU7AEsp0XIy25Wl4aoiD,255190,2017-07-15,32,0.491,0.682,7,-5.327,0,0.0291,0.0202,0.000446,0.2,0.788,133.11,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
652CegYwXhnFnVz3SgGzTO,Ilaw Sa Daan,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,3cvznWGnrhG1Tiga7dqK8x,242790,2016-10-07,53,0.688,0.853,5,-6.678,1,0.0715,0.0344,0.0,0.388,0.512,105.05,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
6qEWsRLoii2tw1YoATjS2e,Fragile,6gu8r4EJnnz8wAdJFNC2Yh,Moon Mask,5VlF3yn28H2Fc81PMlBgiW,279652,2016-11-21,0,0.535,0.85,9,-7.65,1,0.053,0.234,1.21e-05,0.0912,0.399,115.073,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
1CxHb3DthwPyY5Fj6xQgxg,The Fish Song,6tjDbA3wxmcm6ziWUOSosT,"Arigato, Hato!",0dBSxbBXnwJJUhOmlVuDaN,204000,2016-09-08,10,0.75,0.485,9,-12.091,1,0.308,0.287,0.0323,0.101,0.247,81.026,1hAOC6gnTOAhyoMEpAGjYa,OPM Indie Millennials!
