track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
1z50Hub2XCsAPWo8zgoePu,WYAT (Where You At),67,218461,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
3VVikOhdW4igyKikMGqSwQ,Marupok,31,196810,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0ZP3fgtAbv89kzu0MBL4f3,Karma,56,244000,"['117XFtbZPnCI1EYKjYZWJc', '7HJDRQAfEcFiARVehhM6qD']","['Skusta Clee', 'Gloc 9']",2,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
6OvnXcO0CIRq4qzTl0NVEn,Landian,47,231666,"['007MmXwT1HwcXwuyROgNJb', '19POcrtA9EM2Bvlgf19VPu']","['Fred Engay', 'Brian Pepito']",2,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0zANeX4R6uWb82gCQAguOD,Habang Buhay,70,244067,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1mXxolyhAm7eP91K48L57k,Samahan Mo Ako,58,212976,2Cm26ufVCzZu7XVrLH3P6O,Hey Its Je,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
4l9X0aRa2RF6k9NYYlimwW,Gulo,20,203523,5GB0qrWq0mz2OanyfhXGp0,Paul Pablo,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
7bUvgvAf0tdQIty95lV5wf,Dance With You,61,244321,"['117XFtbZPnCI1EYKjYZWJc', '5xOvrnVpLjzfGi69GDlzQY']","['Skusta Clee', 'Yuridope']",2,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1N0yX1ECt0H4ZvxV1ogXJ8,Pagsuko,0,324927,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2X5AFygz5SDYlXagyPw8kX,Binibini,68,221538,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
4nd9cEo5R4jGNcgPHDm7Ar,Marikit,5,263348,"['6kyw9sh7ryjy1GQdPYH3Yd', '1EMaB1ZnRpeXWruJZMtaUa']","['Juan Caoile', 'Kyleswish']",2,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
47UUjZbqZjcrzELnFBB1Ht,Teka Lang,2,196582,3FwNjtXQCdxpDOXmgJQGnG,Emman,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
5hew0m0Jl7qGHI0wQnhOlx,Kawalan,44,164757,007MmXwT1HwcXwuyROgNJb,Fred Engay,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
35yw6wTQcItHtyrbCAQV9L,Ako Naman Muna,60,327058,7yaaxrkMOWJZXpIYHkppDH,Angela Ken,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0EtkP3TUHvTeDIgrpgMS8m,Mana,52,243676,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
4sYZHEiueAYM5klpUbVNyk,What?,52,270192,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
5Qb6FrDW7ehrglaXBgzPTE,Imposible,52,256715,"['1mcqfNCReSFxun2vIWvC28', '6ogIjp0fsbUxlqy9q2rvrT']","['KZ Tandingan', 'Shanti Dope']",2,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
5dq4yQhIuy3fn4F3QeQoFk,Wala Ng Bukas,38,210000,19POcrtA9EM2Bvlgf19VPu,Brian Pepito,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
34ob61cxp34Sf7KHK6RnSU,Sa Susunod Na Lang,65,214606,"['0iqkVK6sTXi7DZWWOeKy8Q', '117XFtbZPnCI1EYKjYZWJc', '5xOvrnVpLjzfGi69GDlzQY']","['PDL', 'Skusta Clee', 'Yuridope']",3,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2ShJmQqsGHvcwBrkQWECCp,Sunrise,53,146351,007MmXwT1HwcXwuyROgNJb,Fred Engay,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
3us3yACYidjyZwm9to0czY,Magandang Dilag,55,237818,"['2JyNzzFJh2wkkZo7ZjMSs2', '0rx2UZbWDlT7ODEHARgi1L']","['JM Bales', 'KVN']",2,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
5p70OUKixtLRpnK5uSdqro,Love Goes,47,221544,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1HwqhHqR60FCREzLkpnhiQ,BamBamBam,0,211182,0touaoSr4QOLYxBJ9lmGgK,Karencitta,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1x7DysraeqSgVgj95hHc3U,Araw-Araw Love,58,211278,3PDFGpPl4ienSn5Vwisfrh,Flow G,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
6lbHdRNNrEqh7O7FXxqtlo,Gabi,50,212834,007MmXwT1HwcXwuyROgNJb,Fred Engay,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
4KtAI0WOLiaeOfBT87shZG,Kung Pwede Lang,52,194811,3FwNjtXQCdxpDOXmgJQGnG,Emman,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1x8pFCRfBnDqckyB6mlZci,Titig,64,259114,"['7dxr6AabRWhsfYRyVJlErK', '3PDFGpPl4ienSn5Vwisfrh', '7ypt5Qvb2h6rIahhfls05p', '5xOvrnVpLjzfGi69GDlzQY']","['MC Einstein', 'Flow G', 'Jekkpot', 'Yuridope']",4,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
3X9c4tBzSdGhlO4Fx3WYgW,Lifetime,65,171527,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0ThEmYRUvDCmaMB4Es3Aa1,Go Up,41,189047,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
6p8f5FM1ZQYl5dQBPneHsO,Akong Damgo,35,221974,19POcrtA9EM2Bvlgf19VPu,Brian Pepito,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1ojVx5LnVcBCGYPL7QC5eW,Umaasa,55,261500,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
5QZw4F3N3PvuKNKHm9L20b,Bazinga,54,202506,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0VZilS61ueHiXgYOZg0WQY,Hanap Ka,0,242500,5R4HkjoZdxW3ZoVGC0e0qD,Julian Sean,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,59,254139,"['3r0NbTTxtCBUyxcIR4prXr', '6EJq8HkmiNvcbGyKGNs43M', '1mu7fvV0tXEx4O3NROKgze', '0lLCFkAncltHh96BcwLU0b']","['Jr Crown', 'Kath', 'Cyclone', 'Young Weezy']",4,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1NFpHhc0nSUIrWYskAwDRn,K(NO)W MORE,29,211418,07jK4mtZH4MyWIK92NcJtS,4TH IMPACT,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1pi3VCMlGVaXvrjlVOkBPN,KLWKN,64,256572,52gTrzyF0DyfkFl1DQz9Oq,Music Hero,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2hLWGufXgFRtvbHTDbmrw7,Katabi,53,266815,007MmXwT1HwcXwuyROgNJb,Fred Engay,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
77iVPjxBy9Q3GgOxVE1UUA,"Halik Sa Hangin - From ""The Killer Bride""",54,288000,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
54b8IPvheXDpro2VR2rWAS,Ivana,3,246550,2EGJbNf0Hva2C2N6hvhMXD,Soulstice,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2LnVPC5M4puijyF4tKPtO1,Joanna,10,211489,6nrxik1s5QPX6CfiqeOoNd,Anna Aquino,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
4YMfE4r1JWADFw2Fn74XW2,Catriona,55,204512,1SrWbIDP84JcSDr0oTBAQw,Matthaios,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,61,304664,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2WUhR1SraSy0SVIQKohJb6,Hanggang Sa Huli,56,254469,3g7vYcdDXnqnDKYFwqXBJP,SB19,1,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2tzAN1L07SNwnOdgOEeuQr,Pauwi Nako,62,341573,"['0iqkVK6sTXi7DZWWOeKy8Q', '117XFtbZPnCI1EYKjYZWJc', '0uD1WQbTE0pNDiJe0iGEaU', '5MfvrLwRcs98YwS3C9Uf1u', '5xOvrnVpLjzfGi69GDlzQY', '3PDFGpPl4ienSn5Vwisfrh']","['PDL', 'Skusta Clee', 'Jnske', 'Bullet D', 'Yuridope', 'Flow G']",6,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
