track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1z50Hub2XCsAPWo8zgoePu,WYAT (Where You At),3g7vYcdDXnqnDKYFwqXBJP,SB19,2KNLbEBtNGRbVGXH74zOcW,218461,2022-09-02,67,0.778,0.79,0,-5.179,0,0.067,0.185,0.0,0.127,0.783,116.986,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
3VVikOhdW4igyKikMGqSwQ,Marupok,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,1xDsZ8DCJPxqSvy9dtqWXG,196810,2020-11-13,31,0.759,0.551,5,-9.636,0,0.221,0.759,0.00447,0.0848,0.82,116.007,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0ZP3fgtAbv89kzu0MBL4f3,Karma,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,3TgHNsGM27UjNCoWgRTesJ,244000,2021-11-02,56,0.565,0.567,7,-11.933,0,0.037,0.0389,0.0,0.212,0.439,100.007,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
6OvnXcO0CIRq4qzTl0NVEn,Landian,007MmXwT1HwcXwuyROgNJb,Fred Engay,7llghkvSHH6XoQ7UUQDhPQ,231666,2021-06-20,47,0.654,0.693,4,-7.425,0,0.0711,0.189,0.0,0.227,0.454,114.954,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
0zANeX4R6uWb82gCQAguOD,Habang Buhay,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,7Mp9hdsWS0vbxKvYkT77hS,244067,2021-09-17,70,0.62,0.668,9,-5.719,1,0.0305,0.088,0.0,0.362,0.183,118.013,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1mXxolyhAm7eP91K48L57k,Samahan Mo Ako,2Cm26ufVCzZu7XVrLH3P6O,Hey Its Je,3cQnZJpy16sCjo52KUiEDL,212976,2021-01-07,58,0.663,0.442,5,-12.106,1,0.0874,0.477,2.51e-06,0.179,0.649,79.973,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
4l9X0aRa2RF6k9NYYlimwW,Gulo,5GB0qrWq0mz2OanyfhXGp0,Paul Pablo,4yN1PIEyMCmjE6pzrEBOZh,203523,2021-10-29,20,0.74,0.776,11,-5.109,0,0.0604,0.0268,2.61e-06,0.166,0.361,105.009,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
7bUvgvAf0tdQIty95lV5wf,Dance With You,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,3SIGbTYOaRM0UHA64nUtgE,244321,2020-11-19,61,0.771,0.629,8,-7.1,1,0.0833,0.0375,0.0,0.108,0.552,116.0,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
1N0yX1ECt0H4ZvxV1ogXJ8,Pagsuko,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,2ISMIFg2oSwy2QvJgP9kFp,324927,2020-05-14,0,0.791,0.417,9,-7.518,1,0.0698,0.448,0.000498,0.189,0.518,88.955,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
2X5AFygz5SDYlXagyPw8kX,Binibini,67IN4cLJ7798gUapyZlmac,Zack Tabudlo,0oJLtle44OSumLZj1WDEf0,221538,2021-03-26,68,0.642,0.374,5,-10.606,1,0.032,0.423,1.54e-06,0.435,0.0979,129.863,5AflmSf6VX8re8hM2M7v87,OPM Pop Songs 2022
