track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
33a5I5tDvZoI3iIucwrho5,lutang,2M1iyuNJojQoNdyfIMr54j,jikamarie,1ux9VroIw8jgLBtezrI5mb,272125,2021-08-29,0,0.588,0.501,2,-12.167,1,0.0374,0.36,0.000273,0.101,0.4,104.987,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
6f0XymT4bXeqzXn9Nst1qV,Nene,2Wmu2LH5sIIkG7DOJb1ASR,Manomano,31oTkKgriZsCoNwLUDkSxv,224186,2006-03-20,36,0.483,0.747,4,-6.107,0,0.0933,0.306,1.04e-05,0.348,0.642,185.978,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
0xAcfMfQZAruCWIF7rmQPn,Buntala,007MmXwT1HwcXwuyROgNJb,Fred Engay,3SM39RbavDYhgBCD7t5cq2,210442,2019-04-27,47,0.483,0.446,10,-7.508,0,0.0282,0.911,0.00411,0.106,0.309,104.464,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
5ebDuD288s1dmwRSosB2sO,Backwards,2IfuZL1jNQFINz3HXwNE4k,Aotp,2sFSTAOwpND7sctda9usCo,237073,2019-09-28,0,0.582,0.437,11,-7.95,1,0.107,0.782,0.0,0.23,0.339,82.002,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
0EURxUd15cZ5QQjYFi056j,Dark Skies,5qqDnSwcDVRKgyV0UhbfJz,Winrich Adarlo,2MwViJZhcBTakJijTQ9id8,220510,2021-03-05,11,0.583,0.539,5,-14.225,0,0.071,0.221,0.0051,0.119,0.666,156.042,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
19guCtZzdHL9IqyHXveLlP,Mundo (Brain Coat Mix),2smHYUOTbLDt6NZE1KuX09,Pappel,22TPKeWQvc7UgLRrMwU8ip,337070,2020-02-03,0,0.699,0.164,1,-17.111,0,0.039,0.427,0.448,0.119,0.0375,139.906,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
2WweTKhQ0GaXlyXOzj4NE2,Huwag Ka Sanang Magagalit,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,0K721sVPuc3fvLdkrhWEKP,294880,2020-03-27,0,0.517,0.516,1,-8.681,1,0.0286,0.59,0.0389,0.141,0.241,79.979,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
2gnVqlNifLIGvinryubyG4,Bawat Kaluluwa,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,5mGR6qKnpILzSzq1yyAUXk,238571,2019-01-18,51,0.705,0.519,5,-7.29,1,0.0341,0.0609,0.0324,0.305,0.521,116.983,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
6KySSO56d6oqmBEjsgzJuW,Chevy Cruze,27vsiYWM46whw7WATGpM6j,Miguel Odron,5k41jn2h8jNNehnhcWm6JN,234237,2020-02-28,39,0.731,0.568,6,-7.262,1,0.107,0.558,0.0265,0.0655,0.845,89.984,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
2ShJmQqsGHvcwBrkQWECCp,Sunrise,007MmXwT1HwcXwuyROgNJb,Fred Engay,16c6Zqdj9CUSSr87JyOMcd,146351,2020-11-06,53,0.668,0.514,0,-6.823,1,0.0366,0.168,0.0,0.0852,0.691,112.017,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
0LC8u7nvctYJJ1xqXBXJbR,Maria Clara,4fhejfeRXmlwh5ozRvrltW,Asiong De Luna,0BhivQAbTlS6paiVDrF7Yc,173319,2020-01-10,27,0.642,0.437,9,-13.265,0,0.256,0.403,5.63e-06,0.12,0.532,89.639,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
2hLWGufXgFRtvbHTDbmrw7,Katabi,007MmXwT1HwcXwuyROgNJb,Fred Engay,5CKKtTdpoBUOpKOMjy2TgP,266815,2020-12-27,53,0.642,0.281,4,-9.926,0,0.0413,0.811,0.0481,0.111,0.192,74.952,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
0lCX1Ro9NHYdQ7GomO8FCd,Cha-Ching!,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,60qph1sDjhgZtPR4IEnu5Y,160853,2018-08-13,0,0.653,0.718,11,-4.982,1,0.0306,0.054,0.0332,0.0843,0.863,79.996,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
7BlnUqWGuLs05Juxf62oRG,Fucking Circumstance,2Y14cC4WUZ8iOwLtGgeCzm,Pappel,09du5HLGh5tbKDY14HGhxf,251317,2020-01-31,0,0.519,0.221,6,-13.173,0,0.0334,0.608,0.701,0.229,0.379,183.913,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
4Edrtauj7pmOlykfFHLz07,In My Prison,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,5mGR6qKnpILzSzq1yyAUXk,218539,2019-01-18,42,0.716,0.825,2,-7.724,1,0.0335,0.0541,0.0279,0.303,0.707,114.981,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
1RePqFllnIOG37GpFAzgMN,Lamang Lupa,30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,0eploJ2gzl8BILvXkfsr1l,246408,2019-07-06,0,0.532,0.995,4,-3.288,1,0.0544,0.0186,0.0199,0.945,0.726,150.021,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
3jDDyw3l2KvSEaPdzkjCei,OZONE (Itulak Ang Pinto),30mZI7Hw2MhoarTVYxfyZM,Unique Salonga,60qph1sDjhgZtPR4IEnu5Y,214293,2018-08-13,0,0.644,0.712,5,-6.94,0,0.0599,0.0244,2.57e-05,0.0939,0.963,90.035,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
7l5aCorqYz8HtZ3wjSwtOV,Not My Energy,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,5mGR6qKnpILzSzq1yyAUXk,243458,2019-01-18,41,0.565,0.795,11,-5.924,0,0.0328,0.0199,1.77e-05,0.111,0.775,144.936,3VCn2N71YDAWN1RNBXJhBX,OPM Psychedelic Songs 2022
