track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7xJ3VASYirHyuTpxDvTVbV,Maikee's Letters,3KovZIDNYgQY8chiNZo2ZF,Just Hush,2CezmL4N05N3YWIo4iH8jT,300893,2018-05-25,2,0.707,0.503,0,-8.266,1,0.0742,0.171,0.00197,0.0586,0.295,121.931,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
7kZkNJ3fwLyP0y7uAHPtVb,Summer,6ZPADYpgSS0VwqZPJeX54p,CARELESS,7DAmmwfTW8OT2HwjdvMxen,224339,2018-10-12,1,0.733,0.469,1,-9.391,0,0.0476,0.0964,0.0,0.132,0.31,103.105,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
7KuLd9JZUHckfXXLe8Dx95,Fckroun,0touaoSr4QOLYxBJ9lmGgK,Karencitta,16Ife238lNi8wslP2P3Dwe,170166,2017-04-08,0,0.568,0.44,0,-8.23,0,0.647,0.79,0.0,0.156,0.184,86.248,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
1Aqv0cWmfxE2KMHoXmGxbY,Lie 2 Me,7KoTRIhjkIQy2L8RjWDpfF,Fern.,3g6e9SDLbimgvXwjcSeN1h,240298,2018-03-30,61,0.393,0.425,9,-8.475,1,0.0445,0.426,1.99e-06,0.238,0.227,95.142,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
4leByHPmby2qmku5R4Mzqn,Drunk Call,6yWj0mvdzglZZDHa0FHmpd,NEXXFRIDAY,1lMn5zuKnuXsvpCVpD7yOJ,187500,2019-06-21,0,0.732,0.261,1,-17.254,1,0.0694,0.825,0.0434,0.0998,0.715,127.891,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
5T6bhSGUpyj3pspvOiMnQZ,Tell Me,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,3FTIeaiVArJwmN256AjTCt,190267,2018-12-21,0,0.739,0.275,7,-13.344,0,0.085,0.218,2.83e-05,0.11,0.326,91.055,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
1Nz7n6y9KSnQy6x1x0o0xB,High.,5KrSUjqj2SRoveNRwgm2rZ,Steven Peregrina,00EFaYDyxDUz53CXXcY9O2,236842,2019-02-18,0,0.627,0.432,4,-10.066,0,0.0529,0.632,0.00247,0.103,0.199,152.105,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
4aEX8nrDpOxHve37fo8myJ,I'd Still Kiss You,7uDdl5V5AETSFY7K3muu22,Arthur Nery,3H8htbv4nP3HIjpOCbxm67,236992,2019-10-25,0,0.456,0.312,8,-9.838,0,0.041,0.929,5.66e-06,0.107,0.0493,132.207,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
07kLHWj2vucNGn2DnFRiHz,Red Lights,1f14QOvizCQAUSK9XziNPH,Colt,7lCELRD1riojSsIfr2Ljn9,159433,2019-03-05,20,0.77,0.373,7,-11.568,1,0.058,0.584,0.0,0.108,0.649,139.944,6308ez0CGVlhdoffwAOd3w,OPM r&b and soul
0KJhL3jwbClnPQXtHWaHgX,What About Love,3MwMfMtrh8q9Whroa3Xqe6,Thor,5vUcDNDEGBKS6bEtm0cqxP,242419,2008-03-14,0,0.394,0.28,5,-7.875,1,0.0335,0.795,0.0,0.0946,0.287,123.48,6M1lKiLEsKwnfL43O0hOOa,OPM R&B Hits 🌴🥥
