track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
27kaeLB6wRVvsaORS8O96F,Mood,70,230000,"['2G7VQ1kVhVfNagytlousgm', '48K8I2AZGPknyk914KtMzO']","['Al James', 'Muric']",2,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4ItjaAW8vi55Ne4Jrw0qJk,Simula,58,335294,"['3FwNjtXQCdxpDOXmgJQGnG', '1xWBSa1TYo94akyvwYs45r', '6gcteR920pLEynlHzjSRYd', '4HPuFCMUiNcV4f3ew0flbZ']","['Emman', 'Awi Columna', 'Kiyo', 'Alisson Shore']",4,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
2oupN96VwNrbONyMtTWGjH,MOON,75,211776,"['3lFMRWaEWZlfXdBig97kks', '3PDFGpPl4ienSn5Vwisfrh']","['Nik Makino', 'Flow G']",2,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4wt9jE5GotVt8xuq8rN0Ur,Kagome,1,238285,1dFRlDO2Z2gjAARxHlovAS,Lo ki,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
3CBDm0Qh9AAw9gjwKCiGyf,Maya,56,198800,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
5R1wIoa3uYNrbwhYSI8l0u,Under World,45,290125,79zkIZBHrnFOpQIDNcsjFB,UTAK BERDE,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4BAuSlaEdoGkebO9QY2C6Y,Man!,63,172800,4ZZiDxjlriIvH5WQtzFMVk,Ghetto Gecko,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
63DjXJcv6pdBF4TFLV6yia,Amen,45,233394,"['6ogIjp0fsbUxlqy9q2rvrT', '1UvsiRB2EarPibq6XRl9Sv']","['Shanti Dope', 'Pricetagg']",2,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
0xaKCWpX4CBSqwh7CQa4EG,PSG,71,180000,2G7VQ1kVhVfNagytlousgm,Al James,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
2JoAaNAys6UqojZxcrjUpm,Batugan,57,215000,3PDFGpPl4ienSn5Vwisfrh,Flow G,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4n1M2F3ochWUybUp64aZJx,Harana sa Sarili,5,250596,6gcteR920pLEynlHzjSRYd,Kiyo,1,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
60jYOyxr1FHGFnofoIXPCq,BETTERMAN,52,290875,"['4HPuFCMUiNcV4f3ew0flbZ', '6gcteR920pLEynlHzjSRYd', '0n4a5imdLBN24fIrBWoqrv', '2U5mF0PZqGu6glnz55yY0y']","['Alisson Shore', 'Kiyo', 'Because', 'John Roa']",4,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
2YeNoqwiB1jHWBUkgPykhg,Stig,60,289533,"['1Hcbuz175YJT1vMX4DnS6E', '3PDFGpPl4ienSn5Vwisfrh']","['Bugoy Na Koykoy', 'Flow G']",2,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
