track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
27kaeLB6wRVvsaORS8O96F,Mood,2G7VQ1kVhVfNagytlousgm,Al James,1KCy0t9OekxUxwTxfIHrbA,230000,2022-09-09,70,0.795,0.514,3,-9.84,0,0.138,0.522,0.0111,0.129,0.522,120.099,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4ItjaAW8vi55Ne4Jrw0qJk,Simula,3FwNjtXQCdxpDOXmgJQGnG,Emman,35BXvmX3MeFe1iUM1yKiOD,335294,2022-08-20,58,0.629,0.481,7,-11.471,1,0.0826,0.461,0.000823,0.676,0.44,135.865,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
2oupN96VwNrbONyMtTWGjH,MOON,3lFMRWaEWZlfXdBig97kks,Nik Makino,16mhf5yYPCUXCr3zUrmBkO,211776,2022-03-04,75,0.809,0.463,11,-12.8,0,0.154,0.569,0.0,0.0786,0.382,128.963,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4wt9jE5GotVt8xuq8rN0Ur,Kagome,1dFRlDO2Z2gjAARxHlovAS,Lo ki,0wqmXcuRE3YBEPMDICVpjm,238285,2021-11-05,1,0.572,0.513,7,-6.481,0,0.0487,0.141,0.0,0.0891,0.207,105.006,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
3CBDm0Qh9AAw9gjwKCiGyf,Maya,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,4I1fcPieKQI3wVrQOIRSMm,198800,2022-04-22,56,0.625,0.781,3,-8.043,0,0.0783,0.175,0.0,0.118,0.776,148.124,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
5R1wIoa3uYNrbwhYSI8l0u,Under World,79zkIZBHrnFOpQIDNcsjFB,UTAK BERDE,1KyZRxeVBfDRDnDvgVUk2O,290125,2021-08-11,45,0.628,0.559,11,-8.375,0,0.0837,0.044,4.86e-06,0.686,0.195,79.949,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
4BAuSlaEdoGkebO9QY2C6Y,Man!,4ZZiDxjlriIvH5WQtzFMVk,Ghetto Gecko,1OOIpHmDWV4naaj4er2ThD,172800,2021-09-10,63,0.561,0.611,1,-5.883,1,0.342,0.0328,3.06e-05,0.0783,0.399,169.651,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
63DjXJcv6pdBF4TFLV6yia,Amen,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,09M1IRNqH6iqH1fKUvv0wc,233394,2022-02-01,45,0.758,0.789,11,-6.93,0,0.164,0.119,8.76e-05,0.0841,0.624,108.965,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
0xaKCWpX4CBSqwh7CQa4EG,PSG,2G7VQ1kVhVfNagytlousgm,Al James,4MqzfMoVBWnM2ZyAJipzPZ,180000,2022-01-13,71,0.789,0.426,2,-13.166,1,0.0824,0.207,0.0388,0.105,0.529,119.984,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
2JoAaNAys6UqojZxcrjUpm,Batugan,3PDFGpPl4ienSn5Vwisfrh,Flow G,3JitFee3LhtWJQlQWD2meB,215000,2022-01-02,57,0.847,0.579,6,-9.778,0,0.133,0.0489,0.0,0.0744,0.533,111.98,3iJxknKGQffZFFADEHqJJa,OPM Rap 2022
