track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
,KUNG IKA'Y AKIN,0,249000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,LETRA,0,253000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,ILALIM,0,226000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,ONE LOVE,0,248000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,SEXY LADY,0,252000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,ONE DAY,0,249000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Ilalim (Album version) with Lyrics,0,231000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Letra (with Lyrics),0,252000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - One Love(Rough Mix)_ (Official),0,264000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory  - Sexy Lady (with Lyrics),0,254000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Hey Jude (Cover_Remakes),0,316000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Dahil Mahal kita (Cover_Remakes),0,210000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Hotel California (Cover_Remakes),0,358000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Naaalala Ka (Cover_Remakes),0,276000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Naroon (Cover),0,238000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Sharing the Night Together (Cover_Remakes),0,174000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory - Versace on the Floor (Cover),0,311000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Chocolate Factory Band - Usok (Cover_Remakes),0,226000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Collie Herb - Lambingan,0,321000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Forever Young [Reggae],0,232000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Green Peace - Kahit Pangit,0,355000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Green Peace - Umulan Umaraw,0,285000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Himig ng Pag-ibig (reggae) - Popong Landero,0,186000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Island Paradise - Supladang Dalaga,0,193000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Kartel + Lion and the Scouts - PAG-ASA...PAG-IBIG...PAGLAYA!,0,238000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Mukhang Pera (Reggae),0,272000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,REGGAE - LISTEN TO YOUR HEART,0,242000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Reggae Bali - Mr. Sunshine,0,184000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Reggae Mistress - MAGREGGAE TAYO,0,227000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,Tsugalogs - Trapo,0,267000,,,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4D7AURWffV3uSuo8buieDI,Maling Akala,47,288853,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4zyYzvQHMgp9GBB5kRV4Yp,Bilog Na Naman Ang Buwan,1,210986,5jjulx3unldBbDDqduPA7u,Tropical Depression,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
2wM7hjeO69ca2EjJMRyx8q,Binibini,0,274626,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
7GWk4Sat9MZA34TNFEDbzS,Kapayapaan,0,286000,5jjulx3unldBbDDqduPA7u,Tropical Depression,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
0fA14N5JCC1JybvGroSxJC,Hitik Sa Bunga,43,237120,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
6Pdjal5UmVNsjaMB5Jnmke,Lintik,54,263493,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
7roLuyWarSlGXN9urtXTK6,Under The Reggae Moon,40,258866,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
1y2gtD8XSBT3tDDlacWKqr,"Sorry Na, Pwede Ba?",50,220466,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
3QyaQRQn8JdlaY9xYECK1g,Yakap Sa Dilim,41,246693,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4vWUgE3FisFTk65kFRPtr9,Do The Reggae,0,298493,5jjulx3unldBbDDqduPA7u,Tropical Depression,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
5lWTdenQHeZd3pyxyMeMSB,Waitin' For Your Love,0,251333,5jjulx3unldBbDDqduPA7u,Tropical Depression,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
0MVnlz0MPg2IolyS8BnHx9,Mahal Kita,0,228333,5jjulx3unldBbDDqduPA7u,Tropical Depression,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4ioYwb6EvcjfmXi69aAjZR,Atin Cu Pung Singsing,0,168333,5jjulx3unldBbDDqduPA7u,Tropical Depression,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
2lnDNgTDt5Ouu5dCpvjvsF,Ikaw Lang Ang Aking Mahal,54,232013,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,SHARING THE NIGHT,0,169000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,KAPAYAPAAN,0,271000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,YOUNG DUMB AND BROKE,0,186000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,"BETCHA BY GOLLY, WOW",0,231000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,HOTEL CALIFORNIA,0,251000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,HEY JUDE,0,307000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,USOK,0,220000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,PAG-ASA,0,325000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,VERSACE ON THE FLOOR,0,314000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,NAAALALA KA,0,271000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,I DON'T WANT TO TALK ABOUT IT,0,295000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,NAROON,0,230000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,SWEAT,0,270000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,TSINELAS,0,183000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
,DAHIL MAHAL KITA,0,204000,,Chocolate Factory,1,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
0J8h0H7e6XyrI2FrPd7qdJ,"Pag-Asa, Pag-Ibig, Paglaya",0,230068,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
6nZRLuysAbfr5TzED6u4Lc,Ligaw Sa Ligaw,0,181730,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
3uyCjFBkreiH4hlxQBCBTM,Atin 'To,0,291600,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
2Knd7MNSAQ7VQGfFaed47z,Tagas,0,170400,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
1o2xufW0KEnipCxDJLaHlg,Kidlat At Kulog,0,227368,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
5roDIY5QnNGkElIrtuaeXx,Sa Silangan,0,215400,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
5bYlv6P8v2ck3SGsyNIw8u,Pinakamagandang Tanawin,33,224013,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
7bTz1cLhjjDqcNKHFACae6,Dahan Dahan,34,340573,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
59DFEFFIIHPJAF5kQrBiaa,Baboy,35,186148,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
0YXs7q5gm9TOMrMM54FQFS,Baso,32,414119,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
4YkgS8FfM4tZYxjJvEleIK,Gugmang Giatay,36,238341,5Fmgf2DU7gmAjTDhQSlqcH,Enchi,1,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
