track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4D7AURWffV3uSuo8buieDI,Maling Akala,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,7tfDmiKEApFiZmT5MzIN1o,288853,2005-11-15,47,0.71,0.766,7,-6.621,1,0.0405,0.0354,2.26e-05,0.0876,0.837,100.435,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4zyYzvQHMgp9GBB5kRV4Yp,Bilog Na Naman Ang Buwan,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,210986,2002-01-06,1,0.804,0.566,7,-15.008,1,0.175,0.535,0.0,0.345,0.918,95.928,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
2wM7hjeO69ca2EjJMRyx8q,Binibini,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,6f0gWSWpcBJulZbvuHKisA,274626,2007-12-04,0,0.636,0.518,7,-9.165,1,0.0428,0.0698,1.11e-05,0.0882,0.702,74.192,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
7GWk4Sat9MZA34TNFEDbzS,Kapayapaan,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,286000,2002-01-06,0,0.739,0.426,9,-16.403,1,0.0774,0.0753,1.28e-05,0.0988,0.731,95.993,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
0fA14N5JCC1JybvGroSxJC,Hitik Sa Bunga,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1Z6EGYdSXonJDj6hYxNVld,237120,2010-03-09,43,0.711,0.951,8,-2.606,1,0.0265,0.0271,0.145,0.106,0.908,103.959,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
6Pdjal5UmVNsjaMB5Jnmke,Lintik,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,0offM8tER7mhrYhJXh6dn2,263493,2005-07-25,54,0.57,0.801,9,-7.267,1,0.0941,0.189,0.00898,0.069,0.973,147.37,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
7roLuyWarSlGXN9urtXTK6,Under The Reggae Moon,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,0offM8tER7mhrYhJXh6dn2,258866,2005-07-25,40,0.656,0.884,0,-6.128,1,0.0449,0.0654,0.000164,0.0602,0.981,94.524,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
1y2gtD8XSBT3tDDlacWKqr,"Sorry Na, Pwede Ba?",7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,4XBL3dlPk7ssCeT6mu1QMs,220466,2007-02-22,50,0.607,0.691,2,-6.578,1,0.0322,0.118,0.000494,0.0979,0.843,81.749,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
3QyaQRQn8JdlaY9xYECK1g,Yakap Sa Dilim,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,4XBL3dlPk7ssCeT6mu1QMs,246693,2007-02-22,41,0.557,0.731,4,-7.514,0,0.0531,0.0494,0.000535,0.0773,0.627,74.063,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4vWUgE3FisFTk65kFRPtr9,Do The Reggae,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,298493,2002-01-06,0,0.723,0.62,2,-13.039,1,0.0504,0.214,0.0,0.0628,0.952,168.297,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
5lWTdenQHeZd3pyxyMeMSB,Waitin' For Your Love,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,251333,2002-01-06,0,0.671,0.517,9,-10.665,1,0.0658,0.0531,0.0,0.0316,0.387,77.83,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
0MVnlz0MPg2IolyS8BnHx9,Mahal Kita,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,228333,2002-01-06,0,0.699,0.306,2,-17.248,1,0.0778,0.0792,0.0,0.0592,0.686,77.815,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
4ioYwb6EvcjfmXi69aAjZR,Atin Cu Pung Singsing,5jjulx3unldBbDDqduPA7u,Tropical Depression,3Z9vtM56WGwiqIMq9WzDvg,168333,2002-01-06,0,0.835,0.327,2,-15.119,1,0.176,0.0704,0.0,0.0356,0.937,93.074,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
2lnDNgTDt5Ouu5dCpvjvsF,Ikaw Lang Ang Aking Mahal,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,0offM8tER7mhrYhJXh6dn2,232013,2005-07-25,54,0.562,0.692,9,-9.011,1,0.0538,0.0309,0.0293,0.0985,0.942,167.355,4kCmG7fP9AOABAT7c0KTIn,Chocolate Factory & Other OPM Reggae
0J8h0H7e6XyrI2FrPd7qdJ,"Pag-Asa, Pag-Ibig, Paglaya",0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,6dWlzuN24lzGJXCW8JwNqy,230068,2014,0,0.659,0.652,9,-7.935,1,0.16,0.612,4.82e-06,0.168,0.352,144.982,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
6nZRLuysAbfr5TzED6u4Lc,Ligaw Sa Ligaw,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,6dWlzuN24lzGJXCW8JwNqy,181730,2014,0,0.768,0.807,5,-9.016,1,0.13,0.72,0.0011,0.519,0.809,104.015,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
3uyCjFBkreiH4hlxQBCBTM,Atin 'To,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,6dWlzuN24lzGJXCW8JwNqy,291600,2014,0,0.779,0.85,1,-7.521,0,0.0672,0.41,0.0102,0.176,0.901,99.986,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
2Knd7MNSAQ7VQGfFaed47z,Tagas,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,6dWlzuN24lzGJXCW8JwNqy,170400,2014,0,0.786,0.849,7,-8.451,1,0.0658,0.691,0.00394,0.194,0.773,100.038,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
1o2xufW0KEnipCxDJLaHlg,Kidlat At Kulog,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,6dWlzuN24lzGJXCW8JwNqy,227368,2014,0,0.77,0.793,6,-6.864,0,0.0708,0.372,3.96e-05,0.204,0.787,95.032,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
5roDIY5QnNGkElIrtuaeXx,Sa Silangan,0QgHu2rXQem2FOW3ppznvV,Kartel & Lion and the Scouts,6dWlzuN24lzGJXCW8JwNqy,215400,2014,0,0.843,0.813,0,-6.882,1,0.15,0.584,0.0,0.0805,0.843,100.03,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
5bYlv6P8v2ck3SGsyNIw8u,Pinakamagandang Tanawin,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,1Z6EGYdSXonJDj6hYxNVld,224013,2010-03-09,33,0.607,0.787,2,-5.32,1,0.0319,0.0102,9.75e-06,0.257,0.798,144.024,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
7bTz1cLhjjDqcNKHFACae6,Dahan Dahan,7ymgfUyJFViyg1qFo4M2nH,Brownman Revival,0offM8tER7mhrYhJXh6dn2,340573,2005-07-25,34,0.707,0.632,9,-8.196,1,0.0303,0.0238,0.00123,0.131,0.914,145.924,47NLoPpJmuqspr4Bp1IicR,OPM Reggae
