track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
5iNGxZ1waiyMFylg4QAHk6,Same Ground,4OjU5UP0GFWeniBC82sGBY,Kitchie Nadal,7beVKW0o7iRoM0eRT3kGfk,267680,2004-01-01,60,0.616,0.525,2,-10.636,1,0.0269,0.308,3.58e-06,0.161,0.456,155.889,2t76r0bHx984lCL0Xh9opc,OPM Rock
3Swi55QZ2Hw1yKCMYNNzCK,Shirley,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,241280,2006-10-10,33,0.296,0.952,2,-10.017,1,0.263,0.0167,0.0339,0.0505,0.37,154.001,2t76r0bHx984lCL0Xh9opc,OPM Rock
5TaaSfaEGyYSekPSz4m1bW,Tindahan Ni Aling Nena,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,185746,2006-10-10,31,0.657,0.712,7,-9.895,1,0.0736,0.0689,0.0,0.326,0.694,137.275,2t76r0bHx984lCL0Xh9opc,OPM Rock
6ctVWFuLs1udLdDDUzqLXG,"Hey, Jay",7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,279813,2006-10-10,32,0.454,0.54,8,-12.853,1,0.0625,0.303,3.18e-06,0.129,0.89,134.031,2t76r0bHx984lCL0Xh9opc,OPM Rock
5nmglzjbUxSzai7gQbsOqY,Kailan Lounge,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,197360,2006-10-10,37,0.514,0.301,0,-12.092,1,0.0315,0.962,0.00793,0.113,0.501,117.515,2t76r0bHx984lCL0Xh9opc,OPM Rock
4F5heiANeozI15ql5kBd4i,Walang Nagbago,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,204120,2006-10-10,38,0.536,0.796,8,-11.841,1,0.0391,0.419,3.52e-05,0.434,0.932,158.963,2t76r0bHx984lCL0Xh9opc,OPM Rock
7l1HynOXgyPZ45Am9OtiCK,Balikbayan Box,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,316720,2006-10-10,30,0.595,0.473,7,-13.437,1,0.0327,0.106,0.139,0.0553,0.262,129.95,2t76r0bHx984lCL0Xh9opc,OPM Rock
4H9dyzJG9Jz3P3DcUb9UjE,Palamig,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,267506,2006-10-10,18,0.388,0.784,9,-7.097,1,0.0391,0.000449,0.000862,0.111,0.32,159.543,2t76r0bHx984lCL0Xh9opc,OPM Rock
7eVQAaMwar65pgEbuAJSut,Spoliarium,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,26ZfEBGPkGWOIagjRIyLVE,331146,2006-10-10,43,0.371,0.493,8,-9.137,0,0.0318,0.576,0.0,0.19,0.515,170.316,2t76r0bHx984lCL0Xh9opc,OPM Rock
6SHSvo6OGgpneKfsxFGhhk,Ligaya,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,271162,2004-01-23,60,0.549,0.718,4,-8.367,0,0.0949,0.397,0.0,0.163,0.683,125.898,2t76r0bHx984lCL0Xh9opc,OPM Rock
4E51r9Kn3wrIoNp2j2KLVQ,Pare Ko,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,325293,2004-01-23,44,0.499,0.561,7,-8.44,1,0.0288,0.108,0.0,0.0637,0.536,144.86,2t76r0bHx984lCL0Xh9opc,OPM Rock
0CR9myb5nh8N8RVjzgMAzt,Toyang,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,229626,2004-01-23,45,0.37,0.668,9,-9.259,1,0.0863,0.0153,0.0,0.327,0.822,163.844,2t76r0bHx984lCL0Xh9opc,OPM Rock
1uUmQer0sSx0YlD0FiOCk5,Minsan,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,257453,2004-01-23,53,0.494,0.677,1,-9.268,1,0.0467,0.211,0.0,0.102,0.576,144.079,2t76r0bHx984lCL0Xh9opc,OPM Rock
4lEuGfkju3qDWHgn8inAZ9,Overdrive,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,306596,2004-01-23,54,0.396,0.343,8,-12.69,1,0.0389,0.357,5.04e-05,0.158,0.338,135.486,2t76r0bHx984lCL0Xh9opc,OPM Rock
1wFDzMeJAK98oJRdrG7Gmj,Kailan,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,197826,2004-01-23,46,0.552,0.442,0,-9.911,1,0.0397,0.448,0.0,0.375,0.41,117.202,2t76r0bHx984lCL0Xh9opc,OPM Rock
3TfOJ9pP9YyEGICzg8Tm3y,Sembreak,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,246160,2004-01-23,38,0.461,0.76,11,-8.164,1,0.0439,0.0238,0.0,0.0912,0.711,139.693,2t76r0bHx984lCL0Xh9opc,OPM Rock
21LMl54FIe7J5oOoZzgeiQ,Ang Huling El Bimbo,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,450333,2004-01-23,60,0.521,0.626,6,-8.152,1,0.0243,0.194,0.0,0.227,0.479,90.337,2t76r0bHx984lCL0Xh9opc,OPM Rock
7sVWkgtDEO7UqbDHq2bUCo,Alapaap,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,265893,2004-01-23,48,0.332,0.846,6,-7.966,1,0.0679,0.0532,0.0,0.0752,0.294,149.239,2t76r0bHx984lCL0Xh9opc,OPM Rock
3pGeMszs8vgG4osWUTMEk9,With A Smile,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,280546,2004-01-23,53,0.322,0.482,6,-9.407,1,0.0295,0.604,0.0,0.111,0.399,150.017,2t76r0bHx984lCL0Xh9opc,OPM Rock
3vkxW6x6VSr2q7D2mYlTDc,Magasin,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,251890,2004-01-23,47,0.443,0.803,11,-8.755,1,0.101,0.0639,0.0,0.287,0.546,110.604,2t76r0bHx984lCL0Xh9opc,OPM Rock
2apg5XfYxciIKJUNF2aLjn,Superproxy,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,347840,2004-01-23,37,0.59,0.782,8,-8.377,1,0.0613,0.377,0.0,0.241,0.905,136.803,2t76r0bHx984lCL0Xh9opc,OPM Rock
2PfPA4V1DLEckT62hZbyzy,Torpedo,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,257680,2004-01-23,42,0.51,0.81,6,-7.658,1,0.0641,0.212,1.52e-06,0.151,0.558,136.461,2t76r0bHx984lCL0Xh9opc,OPM Rock
1xYSAY0dBXAD7Cv3FhL5cT,Kamasupra,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,278333,2004-01-23,34,0.395,0.779,1,-8.372,1,0.0308,0.025,0.0,0.321,0.843,136.103,2t76r0bHx984lCL0Xh9opc,OPM Rock
4ku53epUdBocSCBRNwf9CA,Kaliwete,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,189173,2004-01-23,44,0.458,0.903,8,-6.285,1,0.0412,0.161,0.0,0.191,0.665,145.388,2t76r0bHx984lCL0Xh9opc,OPM Rock
3YiTrKWNORIL0dZe0v2F92,Hard To Believe,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,214000,2004-01-23,43,0.492,0.434,1,-11.223,0,0.0274,0.335,1.28e-06,0.31,0.155,81.366,2t76r0bHx984lCL0Xh9opc,OPM Rock
5xIMkqO3B1rLyKTUzWD0EX,Para Sa Masa,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,295466,2004-01-23,37,0.282,0.257,0,-11.926,1,0.0295,0.927,0.000441,0.293,0.134,180.287,2t76r0bHx984lCL0Xh9opc,OPM Rock
7hx9KflJgyAiXwBVx1uHJ7,Maselang Bahaghari,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,211226,2004-01-23,44,0.265,0.42,8,-9.595,1,0.0607,0.426,1.65e-06,0.133,0.223,173.466,2t76r0bHx984lCL0Xh9opc,OPM Rock
1ZUKSCTqNX5mfkns4jHXyb,Huwag Kang Matakot,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,192693,2004-01-23,50,0.586,0.725,1,-9.163,1,0.0342,0.0601,0.000222,0.114,0.96,127.136,2t76r0bHx984lCL0Xh9opc,OPM Rock
1kK0NB8Wfy6BjKKzd5AFRE,Maskara,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,253386,2004-01-23,36,0.574,0.757,7,-6.373,1,0.028,0.00096,0.00461,0.136,0.534,136.116,2t76r0bHx984lCL0Xh9opc,OPM Rock
0yocScSZ4U9E5bMvy1rBII,Julie Tearjerky,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,215413,2004-01-23,43,0.685,0.711,8,-8.233,1,0.0285,0.0712,0.0,0.0644,0.871,125.071,2t76r0bHx984lCL0Xh9opc,OPM Rock
7AgkIjdSQjEWQR59A4umy2,Fruitcake,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,276946,2004-01-23,41,0.358,0.507,1,-9.041,1,0.0285,0.518,4.83e-06,0.0906,0.383,84.434,2t76r0bHx984lCL0Xh9opc,OPM Rock
61jPZwzRkdQ0dZP3bDtyTX,Tuwing Umuulan At Kapiling Ka,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,283493,2004-01-23,51,0.315,0.667,10,-7.905,1,0.0359,0.755,0.0,0.119,0.362,77.602,2t76r0bHx984lCL0Xh9opc,OPM Rock
0aui1glEVwPzUIKsThu4YQ,Harana,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,365160,2004-01-23,50,0.412,0.678,7,-10.837,1,0.0307,0.032,0.000307,0.111,0.59,130.711,2t76r0bHx984lCL0Xh9opc,OPM Rock
4UCzT6tpgbVADZeViocFcJ,Liwanag Sa Dilim,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,220786,2010-05-18,0,0.612,0.609,3,-6.694,1,0.0315,0.374,0.0,0.0922,0.522,108.275,2t76r0bHx984lCL0Xh9opc,OPM Rock
5eYgY4YWrz46N8fhiLTjWg,A Love To Share,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,197386,2010-05-18,0,0.724,0.594,11,-8.941,1,0.0343,0.673,0.0069,0.0959,0.712,125.019,2t76r0bHx984lCL0Xh9opc,OPM Rock
4FEpZznl6UjHHjSEgtewPd,Never The Bright Lights,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,264000,2010-05-18,0,0.477,0.716,4,-6.996,1,0.03,0.0467,0.0,0.139,0.645,126.244,2t76r0bHx984lCL0Xh9opc,OPM Rock
0J9svCnEvp0MLcXtk2APgQ,Atat,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,232226,2010-05-18,0,0.68,0.576,2,-7.537,1,0.028,0.251,2.99e-05,0.105,0.847,118.0,2t76r0bHx984lCL0Xh9opc,OPM Rock
52Rnhm9wZBfVhtmdXMZjlr,Wag Na Init Ulo Baby,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,297533,2010-05-18,0,0.845,0.266,7,-11.532,1,0.0448,0.745,0.0,0.0515,0.302,110.082,2t76r0bHx984lCL0Xh9opc,OPM Rock
2AFdML6DpIl585TXpF3U5A,Alab Ng Puso,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,393160,2010-05-18,0,0.612,0.616,2,-7.688,1,0.0302,0.03,0.0591,0.0707,0.428,130.002,2t76r0bHx984lCL0Xh9opc,OPM Rock
6hwsbH158tXOZwzL8tIZfw,Posible,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,264626,2010-05-18,0,0.394,0.759,5,-7.359,1,0.0388,0.504,0.0088,0.0902,0.436,113.093,2t76r0bHx984lCL0Xh9opc,OPM Rock
3rnUsteGKAS1Vnh1KsUIov,Basketbol,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,317586,2010-05-18,0,0.592,0.531,4,-7.924,1,0.0268,0.128,0.000761,0.18,0.22,80.058,2t76r0bHx984lCL0Xh9opc,OPM Rock
6o50wKNDKF4iQ01Rx2cuN4,Sunday Driving,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,253893,2010-05-18,0,0.697,0.657,9,-8.596,1,0.028,0.587,0.000644,0.104,0.565,117.01,2t76r0bHx984lCL0Xh9opc,OPM Rock
4YUuEfldgTf3v9Kun7wgff,"Umaaraw, Umuulan",1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,420386,2010-05-18,0,0.56,0.845,9,-6.106,1,0.0319,0.0142,0.000247,0.248,0.648,134.51,2t76r0bHx984lCL0Xh9opc,OPM Rock
6MpYZrQVdbFl3tzvRAZiFa,241 (My Favorite Song),1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,272640,2010-05-18,0,0.705,0.311,9,-7.708,1,0.0261,0.568,2.45e-06,0.0927,0.165,130.097,2t76r0bHx984lCL0Xh9opc,OPM Rock
4N0XG7hGoVnUKI2kuRGN1u,Kisapmata,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,280946,2001,59,0.432,0.563,2,-8.807,1,0.0309,0.0877,0.000355,0.294,0.397,136.172,2t76r0bHx984lCL0Xh9opc,OPM Rock
3zuJmBQozBPx6KRlfCNUPQ,Himala,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,246280,2001,52,0.353,0.316,2,-8.324,1,0.0284,0.0922,2.06e-05,0.0768,0.316,173.887,2t76r0bHx984lCL0Xh9opc,OPM Rock
7gZ3kWNtIxFgxjsm5OTVMB,214,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,273200,2001,65,0.537,0.561,4,-6.961,0,0.0297,0.423,1.64e-06,0.134,0.242,78.13,2t76r0bHx984lCL0Xh9opc,OPM Rock
4ZcFwr9dULQB3ZFs89h5nZ,Ulan,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,268786,2001,51,0.534,0.736,7,-6.775,1,0.0276,0.0519,0.529,0.334,0.752,138.248,2t76r0bHx984lCL0Xh9opc,OPM Rock
0S3J3ba1wuytMDUyrTSEUk,Elesi,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,65GkUxR6lYlCiYP4mqyZl1,298720,2001,55,0.587,0.713,0,-8.457,1,0.0278,0.191,0.0,0.141,0.612,150.056,2t76r0bHx984lCL0Xh9opc,OPM Rock
0yE7OAWy0Ww9WKfZhLEoME,Balisong,1ZTdxfZTeztyAgKUJVLxAI,Rivermaya,2YzQIJTVN5myQiM2kh6ruH,219493,2010-05-18,0,0.485,0.503,0,-8.795,0,0.0372,0.343,0.000218,0.247,0.471,79.497,2t76r0bHx984lCL0Xh9opc,OPM Rock
1QrCEEQgtrCQip1wZaRcR2,Bye Bye Na,2yHVUZmvAgrBw7U9KWujNU,Rico Blanco of Rivermaya,4lzrjhC3OGXau5LyqChl8H,235125,2005-12-20,0,0.663,0.385,0,-11.616,1,0.0302,0.0215,1.8e-06,0.105,0.531,115.983,2t76r0bHx984lCL0Xh9opc,OPM Rock
1zTAg1Pbf4Acs62W902w0m,Line To Heaven,1O5rl0K2M7NDlfgE9ChFfq,Introvoys,2064d5fIauwXP3IOZ4eEoe,199426,2007-03-07,45,0.564,0.607,6,-6.04,1,0.0263,0.503,0.0,0.121,0.344,110.103,2t76r0bHx984lCL0Xh9opc,OPM Rock
6dS0Y9Qk6kQWZ5fHesesu9,Kailanman,1O5rl0K2M7NDlfgE9ChFfq,Introvoys,2064d5fIauwXP3IOZ4eEoe,213080,2007-03-07,40,0.384,0.853,8,-5.211,1,0.0843,0.115,1.44e-06,0.0878,0.72,170.098,2t76r0bHx984lCL0Xh9opc,OPM Rock
7gKJuPtCSRXJU1zf64TCDf,Peace Man,0c7d9V8rjfT6tzojfBfRf5,Bamboo,6rOq3avTNJ9aRaW1bmAlLN,179278,2006,41,0.78,0.52,0,-9.47,1,0.0331,0.616,0.000141,0.255,0.796,95.094,2t76r0bHx984lCL0Xh9opc,OPM Rock
2aGxp51RQtb7djdFm2Evsj,Di Na Ko Aasa Pa,1O5rl0K2M7NDlfgE9ChFfq,Introvoys,7jtcxQSeNHorXNxezRyDx5,280533,2010,41,0.436,0.675,3,-9.067,1,0.035,0.00991,0.000758,0.19,0.457,176.035,2t76r0bHx984lCL0Xh9opc,OPM Rock
6s97fltVQXax4ZFkZJdGdP,Ulan,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,309066,2005-06-09,58,0.235,0.519,11,-5.691,1,0.0341,0.588,0.0,0.118,0.0909,171.38,2t76r0bHx984lCL0Xh9opc,OPM Rock
2scfoYmaEbyFnSTezCxRXZ,Tagpuan,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,0HYAcVSUVkfxzHKgHu6DqR,255453,2012,49,0.441,0.875,2,-3.294,1,0.0366,0.000781,0.0,0.383,0.622,138.03,2t76r0bHx984lCL0Xh9opc,OPM Rock
1jImST6hhs1EV45p78RBpM,Stay,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,235706,2005-06-09,61,0.306,0.494,9,-7.748,1,0.0287,0.0211,0.0,0.0972,0.161,157.224,2t76r0bHx984lCL0Xh9opc,OPM Rock
12qMGQ5k2lt49NtwA9isOp,Stay - Acoustic,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,236920,2005-06-09,39,0.349,0.644,9,-6.246,1,0.0311,0.512,0.0,0.0921,0.226,156.303,2t76r0bHx984lCL0Xh9opc,OPM Rock
7LtMm9yR9n5tpQMGkqSPcs,Martilyo (feat. Dex),7HJDRQAfEcFiARVehhM6qD,Gloc 9,4OW7MmELeEHi36FWX02IAk,247546,2009-06-26,37,0.664,0.915,10,-5.262,0,0.0386,0.135,0.000109,0.156,0.962,151.99,2t76r0bHx984lCL0Xh9opc,OPM Rock
1R7xyfnV6IgB6qSMZI0MMn,Laki Sa Layaw,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,6f0gWSWpcBJulZbvuHKisA,217520,2007-12-04,0,0.558,0.834,4,-6.221,1,0.0594,0.0284,1.53e-06,0.105,0.589,103.81,2t76r0bHx984lCL0Xh9opc,OPM Rock
25kCMLe3K5Q7c0YTLX7H1e,Kahit Maputi Na Ang Buhok Ko,13VRqzYJxIUpx67aASZADe,Soapdish,2gnxVWEgenH57AvpIDJuHJ,179053,2006-07-12,0,0.466,0.841,11,-4.385,0,0.0485,0.0383,0.000171,0.232,0.574,136.85,2t76r0bHx984lCL0Xh9opc,OPM Rock
6F4kIwgUAFU87bqpga91TR,Tensionado,13VRqzYJxIUpx67aASZADe,Soapdish,1dO3EZspn36GkTEuSYJVTK,196693,2006-09-12,0,0.526,0.526,9,-6.287,1,0.0253,0.702,0.0,0.0738,0.248,140.557,2t76r0bHx984lCL0Xh9opc,OPM Rock
6KmW0zgRpTmvFDaiDbcsqv,Pwede Ba,13VRqzYJxIUpx67aASZADe,Soapdish,1dO3EZspn36GkTEuSYJVTK,372560,2006-09-12,0,0.561,0.463,4,-5.742,1,0.0258,0.782,0.0,0.0986,0.259,140.455,2t76r0bHx984lCL0Xh9opc,OPM Rock
43JXeqw4pzLs7UGzSSoXNB,Ipagpatawad Mo,7lIVjtsgz0y1oRQFBAVNzq,Mayonnaise,2gnxVWEgenH57AvpIDJuHJ,244440,2006-07-12,0,0.402,0.759,5,-5.892,0,0.0518,0.0476,0.0,0.0476,0.409,145.336,2t76r0bHx984lCL0Xh9opc,OPM Rock
2RvLkd2SFlCY7edJ5XDbQz,Takusa,2uSQi2dS9WLbu4IlzTPLKr,Rocksteddy,68P7A2Is3ExQ8zdEfO6484,170733,2012-07-10,0,0.495,0.924,2,-4.175,1,0.0811,0.00487,2.83e-06,0.0584,0.543,112.302,2t76r0bHx984lCL0Xh9opc,OPM Rock
3MIvfNdSQblRqo307hD4ze,Isang Araw,7HJDRQAfEcFiARVehhM6qD,Gloc 9,3reglY59T7IWZ4qLe0yXiK,127007,2010-10-06,0,0.661,0.969,0,-3.489,1,0.0896,0.00576,0.0402,0.06,0.743,153.161,2t76r0bHx984lCL0Xh9opc,OPM Rock
3NKvolU1Too1Xa7jifaqQa,Crazy For You,2AGl0dUCflM3mAfFcJVq5d,Michael Cruz,3reglY59T7IWZ4qLe0yXiK,315219,2010-10-06,0,0.487,0.558,9,-7.754,1,0.0253,0.00914,0.0,0.149,0.36,172.196,2t76r0bHx984lCL0Xh9opc,OPM Rock
