track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4SFBV7SRNG2e2kyL1F6kjU,"The Well-Tempered Clavier: Book 1, BWV 846-869: I. Prelude in C Major, BWV 846",63,139306,"['5aIqB5nVVvmFsvSdExz408', '1YZhNFBxkEB5UKTgMDvot4']","['Johann Sebastian Bach', 'Lang Lang']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
1upQiytDIEZfl9ItruoXuC,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",66,207266,"['1QL7yTHrdahRMpvNtn6rI2', '6bk0YPhJSL44WBtoGe4GI6', '77CaCn32H4mOMQA7UElzfF']","['George Frideric Handel', 'Alexander Briger', 'Academy of St. Martin in the Fields']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",69,152280,"['5aIqB5nVVvmFsvSdExz408', '5Dl3HXZjG6ZOWT5cV375lk']","['Johann Sebastian Bach', 'Yo-Yo Ma']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0H2VhGUC3P3hvwz8rdGIpC,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",66,203655,"['2wOqMjp9TyABvtHdOSOTUS', '1YZhNFBxkEB5UKTgMDvot4']","['Ludwig van Beethoven', 'Lang Lang']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
5fdp9rXfEixCGLM1Og4EN1,Gnossienne No. 1,65,296480,"['459INk8vcC0ebEef82WjIK', '5kgAnLGI2biBHvY7hDsF7P']","['Erik Satie', 'Alena Cherny']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
1cmigB9I6IRpFqjIbzvSQB,"Suite bergamasque, L. 75: III. Clair de lune",65,294960,"['1Uff91EOsvd99rtAupatMP', '0d6alfZHUx3xoRnPjkTL7Q']","['Claude Debussy', 'Alice Sara Ott']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
5x3TUfYzgZIdt0Kaop64ss,"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)",0,302093,"['62TD7509VQIxUe4WpwO0s3', '6NUhQz7eAEsZvjEHTKHux9', '77CaCn32H4mOMQA7UElzfF']","['Johann Pachelbel', 'Sir Neville Marriner', 'Academy of St. Martin in the Fields']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
7h6GoPvGHC9uzZJ8bNvfIq,"Suite No. 3 in D, BWV 1068: 2. Air",60,365146,"['5aIqB5nVVvmFsvSdExz408', '29BEmD7wvKp6F5GTCcejY3', '6uRJnvQ3f8whVnmeoecv5Z', '5zCaQxjl110XTrm4LQ1CxY']","['Johann Sebastian Bach', 'David Bell', 'Berliner Philharmoniker', 'Herbert von Karajan']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
6Uk28Hs2MulezLxMrd1rBD,Meditation: Méditation from Thaïs,0,337253,"['1AoIc5YFH0aSFc4mKqBEeB', '02B3Os1lCLuWR6klPJiQpW', '5yxyJsFanEAuwSM5kOuZKc', '3sjupE75AphhTX12fgkQv6']","['Jules Massenet', 'Nicola Benedetti', 'London Symphony Orchestra', 'Daniel Harding']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0pCHzhuRt6kOU3FUEG3HnC,"Danse Macabre, Op.40, R.171",0,442693,"['436sYg6CZhNefQJogaXeK0', '4AcXapei4U7xnWecv9AEBd', '5uzHTiIlBm52CfvHki0BXF', '3JzgNB1Kzlc17zuSzrC51x']","['Camille Saint-Saëns', 'Orchestre Symphonique de Montréal', 'Andrew Wan', 'Kent Nagano']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0cqcRqZgkNHanWQ8slYA0v,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,59,583293,"['2ANtgfhQkKpsW6EYSDqldz', '78sEozQOEJxzXegUuqRSgH', '6TD08jYeuN128P2MZTbc8E']","['Gustav Mahler', 'Daniel Barenboim', 'Chicago Symphony Orchestra']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",68,174266,"['436sYg6CZhNefQJogaXeK0', '5Dl3HXZjG6ZOWT5cV375lk', '7JmDqds7Y1LRSWZVM8e0Og']","['Camille Saint-Saëns', 'Yo-Yo Ma', 'Kathryn Stott']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2kAgCRZPG3YQR2VMqRvLmb,The Lark Ascending,44,935360,"['7wNkISK49lKeXuRaZcQVFe', '0yB2SgzCCYb9uhjd4BG4pP', '1z9u3vLr7gw6IBS8CP8c2X', '1Q9HCWdqbiui9pOsDtYkXW']","['Ralph Vaughan Williams', 'Tasmin Little', 'BBC Philharmonic', 'Andrew Davis']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
3QqPgzOcv9titKufFR0gsQ,"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",51,564640,"['4kHtgiRnpmFIV5Tm4BIs8l', '3riPrGLt8Xh4h53bATMw00', '2znuNoLW9zjOV0otN0qy2J', '2hH1ghVuIcjT1mddVoeY1j']","['Sergei Prokofiev', 'Behzod Abduraimov', 'Orchestra Sinfonica Nazionale Della RAI', 'Juraj Valcuha']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0dzl6bBvsIAfHLlTbBObTW,"An der schönen blauen Donau, Op.314",0,707173,"['5goS0v24Fc1ydjCKQRwtjM', '6uRJnvQ3f8whVnmeoecv5Z', '5zCaQxjl110XTrm4LQ1CxY']","['Johann Strauss II', 'Berliner Philharmoniker', 'Herbert von Karajan']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
4rrrn8OLrttq7r9RgNXalU,"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",59,644272,"['0Kekt6CKSo0m5mivKcoH51', '0gOrXuu1vCBXe3pwTyb5Ca', '5yxyJsFanEAuwSM5kOuZKc', '4znpeZQkiPbcXtHlRbfTqF']","['Sergei Rachmaninoff', 'Valentina Lisitsa', 'London Symphony Orchestra', 'Michael Francis']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0k6P9cdEA9K3k0ASde2Kof,Rodrigo: Concierto de Aranjuez: II. Adagio,54,640266,"['3eqv9LW7ZXlYWXVFjHS4Mr', '6ZgXLDSjEsWxgYP8MeLS1t', '52P7S7AfcrT8ZmHaTWqXaQ', '75ehLoOSz7elHefmAk5QWa']","['Joaquín Rodrigo', 'Thibaut García', 'Ben Glassberg', 'Orchestre National Du Capitole De Toulouse']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
419qlOGNXoyICx4jO0hqaj,"Rhapsody on a Theme of Paganini, Op. 43: Variation No. 18 Andante cantabile",57,174653,"['0Kekt6CKSo0m5mivKcoH51', '1fUhTALoWXPL6PZSkKImY9', '6tdexW8bZTG8NgOFUCYQn1', '5ZGyCOrODWwaVtLSDjayl5']","['Sergei Rachmaninoff', 'Daniil Trifonov', 'Philadelphia Orchestra', 'Yannick Nézet-Séguin']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
5pjDwtMPly0cNMbuGXhUOI,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",53,478573,"['430byzy0c5bPn5opiu0SRd', '5VRErWhTZd0si1lqt1DwoW', '5yxyJsFanEAuwSM5kOuZKc', '5X3hmAle6klG0VvstAnvyD']","['Edward Elgar', 'Jacqueline du Pré', 'London Symphony Orchestra', 'Sir John Barbirolli']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0QTaXZRWdzfPdssiQThdCL,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",51,766212,"['5ihY290YPGc3aY2xTyx7Gy', '5iRBqpTEOgggnri1awdnNZ', '0a9SIKSCIhxjx4QJlSZfYa', '5ieRNtQmVhIhCkQA4ZkK6L']","['Edvard Grieg', 'Denis Kozhukhin', 'Berlin Radio Symphony Orchestra', 'Vassily Sinaisky']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
3GecLjGMqzjmgkvy2v41Wf,"Ständchen in D Minor (After Schubert), S. 560",55,357746,"['1385hLNbrnbCJGokfH2ac2', '1Z6QKxH36L3ff4yhBD3r1W']","['Franz Liszt', 'Lise de la Salle']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2Y95aUjHiOtgL8A6t52Ynl,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",38,442600,"['2wOqMjp9TyABvtHdOSOTUS', '2uLLmndNOXyB4XqMH3auYK']","['Ludwig van Beethoven', 'Louis Lortie']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2u9VGZmVz7Rm01SfDgzcfA,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",62,293146,"['1385hLNbrnbCJGokfH2ac2', '1YZhNFBxkEB5UKTgMDvot4']","['Franz Liszt', 'Lang Lang']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
3af6PvJHP8XlFMWeuN7bF8,"Andante festivo for Strings and Timpani, JS 34b",51,337840,"['7jzR5qj8vFnSu5JHaXgFEr', '5RFv0vIgbz020yHVboJQ0y', '2GhXDeZqUWAqSpz7So8yUt']","['Jean Sibelius', 'Lahti Symphony Orchestra', 'Osmo Vänskä']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
04eShjKTWijeJJqGnhxpYK,Scheherazade: The Tale of the Kalendar Prince,56,200360,"['2kXJ68O899XvWOBdpzlXgs', '2PhoqBsZH8FTD3cIKaA57G']","['Nikolai Rimsky-Korsakov', 'Joakim Svenheden']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0S0YKiEdR9cT9pYgEaTevF,O Magnum Mysterium: O magnum mysterium,59,415800,"['4EV7a9KODMBPJTCgIl9Bmk', '1TQJoqACwhfrAKXA9WwO4v', '6yAWv145sy4X8JuioX2niU']","['Morten Lauridsen', 'Chamber Choir Of Europe', 'Nicol Matt']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
5xbuJuQsTVheVZvX2AJVIv,Spring 1,66,151506,"['2VZNmg4vCnew4Pavo8zDdW', '59r5UU2HOytn9V5uMZ5Vur', '19z3Is8jPDFmLphrQ2w2Du', '1pNP4idjNnhPXDLi0Jz12R']","['Max Richter', 'Daniel Hope', 'Konzerthaus Kammerorchester Berlin', 'Andre de Ridder']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2Z4aQJh0kesRMookvtfR4y,"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato",52,820853,"['5ihY290YPGc3aY2xTyx7Gy', '5sYNU2X0Fvw3iAqWTqwWjz', '23BiSNXm5UaRFuusoWisYO', '71dLaXD8sd1tV1LzFqUj3q']","['Edvard Grieg', 'Javier Perianes', 'BBC Symphony Orchestra', 'Sakari Oramo']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
1CSaCKPIp2yCIDL3t7Fyau,"Barber: Adagio for Strings, Op. 11",59,537426,"['4XDJurjQCnWLlE7KLZCT9x', '4GQwgdcDQwqtcHICjUNndp', '6uRJnvQ3f8whVnmeoecv5Z']","['Samuel Barber', 'Sir Simon Rattle', 'Berliner Philharmoniker']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
7HSs4srn1qnZhh7WRWBVOk,"Prokofiev: Romeo and Juliet, Op. 64, Act 1, Scene 2: Dance of the Knights",56,341693,"['4kHtgiRnpmFIV5Tm4BIs8l', '2tfWguHr2nj4e8KXLKciVq', '5yxyJsFanEAuwSM5kOuZKc']","['Sergei Prokofiev', 'André Previn', 'London Symphony Orchestra']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2nVt0n0aSj3AwZjakMvDHX,Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,49,592040,"['5WIoytpqi3VWoFSHnl49in', '5yxyJsFanEAuwSM5kOuZKc']","['Aram Khachaturian', 'London Symphony Orchestra']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
4Dcm4KMuDz0l01weeSpD4J,Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),50,642573,"['34MYamymtmnsmpwbqydd7I', '7I5aVjTWURRixYxOI0FB3p', '61IiB7CMTGpzxoLqczG635', '07X67zCYYsPRNHdxx0OYFL', '62xX0IMuU3C2UCd8kRJSHv', '4DSpdI6IODyLdw0Wg4bUXe', '7g9NeUQzyocyDUNRbTaqYu', '5pqxSFve9m0SJub8CczKg9', '7oFubvRIriTCF1yfzJm5RC']","['Alexander Borodin', 'Angelina Shvachka', 'Dmytro Popov', 'Mykola Koval', 'Taras Shtonda', 'Mykola Hobdych', 'Kiev Chamber Choir', 'Ukraine National Radio Symphony Orchestra', 'Theodore Kuchar']",9,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
4QfYHdV8hMoyS9qKUct98q,"Elégie in C Minor, Op. 24 (Arr. Parkin)",0,455466,"['2gClsBep1tt1rv1CN210SO', '6OTr0YwLwGdv7mlmX27hRX', '5vg0ucoBJjqBXYU4eun1q0', '2fmgzbIofilzYsCs78DoIz', '7M3y3I89VwWt8f1RzfL0tD', '0l1vYmurS7p5yvNhGws7PR', '1JDbWFeVdrcXAhwIrE9xf4', '52YjeuSSJXaGLf5mRMDkPT', '1B14EjyPPZZWctTrY2vXFr', '6Woa4IdoJ3rdx2rKPftG5M', '5vZlkmX2cshSta7FjOKDko']","['Gabriel Fauré', 'Sheku Kanneh-Mason', 'Rowena Calvert', 'Ashok Klouda', 'Nicholas Trygstad', 'Caroline Dearnley', 'Desmond Neysmith', 'Josephine Knight', 'Hannah Roberts', 'Chris Murray', 'Robert Max']",11,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
3MRQn2RYo2VLYMoStnLRxu,"Ravel: Pavane pour une infante défunte, M. 19",60,346586,"['17hR0sYHpx7VYTMRfFUOmY', '28Bn2PxtmXD8UbBSM968Fp']","['Maurice Ravel', 'Bertrand Chamayou']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
0xX7kREWmOGBWzYNcpZwRN,"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",51,364093,"['1C3sffOOvQNUwg4YIsvKqy', '3Ka1nDpDzxDveEqUPzIeom', '6aMKh0D0j5K7z1ECYRHvJP']","['César Franck', 'Joshua Bell', 'Jeremy Denk']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
1Xy6MHSaX3IUGGqst6RzYM,"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",50,1252321,"['3MKCzCnpzw3TjUYs2v7vDA', '2rRUfv2w535SEUV1YO5SP6', '2LxnoYPOe0FCLC82R3xgO2', '1fUhTALoWXPL6PZSkKImY9']","['Pyotr Ilyich Tchaikovsky', 'Mariinsky Orchestra', 'Valery Gergiev', 'Daniil Trifonov']",4,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
4wudbbceOZKjRlhTtbHvAs,Spiegel im Spiegel - Version for Violin and Piano,51,636000,"['2P6ygesd9xg5DPOBnda2jg', '24o3OUQvNiz3IY9DQhFhnF', '5SB7fgTMdoI0NbO5uEfp9D']","['Arvo Pärt', 'Vladimir Spivakov', 'Sergej Bezrodny']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
52GmHO5DikTIKc3yBmTTT1,"Symphony No. 8 In B Minor, D.759 - ""Unfinished"": 1. Allegro moderato",44,906000,"['2p0UyoPfYfI76PCStuXfOP', '003f4bk13c6Q3gAUXv7dGJ', '55ZzUX5aeX7bKQyRMsQMbG']","['Franz Schubert', 'Wiener Philharmoniker', 'Josef Krips']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2OHnoGjn6X6kDwzO7Rw0Y9,The Sorcerer's Apprentice,49,577440,"['3KpcdlqCaWWruPfmM2rWy1', '09KZU0NsS7jRa5p0SflmGY']","['Paul Dukas', 'Philharmonia Orchestra']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
2fC30Rt5tFa6FA2jNb4fiz,"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",53,435160,"['4NJhFmfw43RLBLjQvxDuRS', '4uYezrzLeI9Y2Q8AnwO5ey', '1iVYBsAuXpphPzqD1PQLKK']","['Wolfgang Amadeus Mozart', 'Riccardo Minasi', 'Ensemble Resonanz']",3,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
1Oo7XEqkrwifJn17aA0ocF,"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",62,378733,"['5wTAi7QkpP6kp8a54lmTOq', '2DG9aIMzcln3w7SIVGGnmg']","['Johannes Brahms', 'Arcadi Volodos']",2,37i9dQZF1DWWEJlAGA9gs0,Classical Essentials
