track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,84,186209,"['6QMABvTzixnxzsLYyhqRxI', '54R6Y0I7jGUCveDTtI21nb']","['Majestic', 'Boney M.']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,85,162802,"['0Y5tJX1MQlPlqiwlOH1tJY', '2o08sCWF5yyo2G4DCiT7T9']","['Travis Scott', 'HVME']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,92,148197,"['7f5Zgnp2spUuuzKplmRkt7', '6ydoSd3N2mwgwBHtF6K7eX']","['Lost Frequencies', 'Calum Scott']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,87,169153,"['7i9j813KFoSBMldGqlh2Z1', '1gALaWbNDnwS2ECV09sn2A', '23rdR5gsZI5BqncTEKLtDU', '0SSgGgCftrslhyAEDEDdim', '3Edve4VIATi0OZngclQlkN']","['Riton', 'Nightcrawlers', 'Mufasa', 'Hypeman', 'Dopamine']",5,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
4uDhts78RdwIDjEqPrYVKp,Sweet Dreams,79,138819,"['7vk5e3vY1uw9plTHJAMwjN', '5rGrDvrLOV2VV8SCFVGWlj']","['Alan Walker', 'Imanbek']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
73QyyUMMvtNELmULI4FOsp,You for Me,76,175435,"['1IueXOQyABrMOprrzwQJWN', '5CCwRZC6euC8Odo6y9X8jr']","['Sigala', 'Rita Ora']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
20on25jryn53hWghthWWW3,Do It To It,94,157890,"['4pnp4w9g30yLfVIAFnZMRd', '1c70yCa8sRgIiQxl3HOEFo']","['ACRAZE', 'Cherish']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
2cc8Sw1OnCuA5bV8nqWqpE,You,81,233386,"['4ofCBoyEiGSePFAG500xev', '3WGpXCj9YhhfX11TToZcXP', '45dkTj5sMRSjrmBSBeiHym']","['Regard', 'Troye Sivan', 'Tate McRae']",3,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
0zqBZqm5czQ3A4EoSdKFHj,Man On The Moon,79,178625,"['7vk5e3vY1uw9plTHJAMwjN', '7jEEE187pVG6InOxn03oA5']","['Alan Walker', 'Benjamin Ingrosso']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
3Zs7UPRJeoy3uycdPHVfwv,Signals,70,167998,"['4ofCBoyEiGSePFAG500xev', '0r0KdmVS1Er3kaFnl1KPog']","['Regard', 'Kwabs']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
0vR2rIVORmgeKiGIgNT0fV,By Your Side (feat. Tom Grennan),78,189671,"['7CajNmpbOovFoOoasH2HaY', '5SHxzwjek1Pipl1Yk11UHv']","['Calvin Harris', 'Tom Grennan']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
1bFgMkoazsyZGSflpCzYm6,Pepas - Tiësto Remix,71,223384,"['329e4yvIujISKGKz1BZZbO', '2o5jDhtHVPhrJdv3cEQ99Z']","['Farruko', 'Tiësto']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
71qB68guEJjbvtjlkZ8DF5,Undeniable (feat. X Ambassadors),77,180596,"['23fqKkggKUBHNkbKtXEls4', '3NPpFNZtSTHheNBaWC82rB']","['Kygo', 'X Ambassadors']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
5vcfy76yr163pFH7NkN6nX,I Don't Want You,70,190240,"['7i9j813KFoSBMldGqlh2Z1', '5KKpBU5eC2tJDzf0wmlRp2']","['Riton', 'RAYE']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
1F80MEkZA9yTlpMQp9dhht,Because You Move Me,72,196373,"['5EmEZjq8eHEC6qFnT63Lza', '6dC41opH96WjFwWhhAxBsS']","['Tinlicker', 'Helsloot']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
1md4HSE2DTmnCn9kpm8mFM,Pieces,67,172707,"['5oJvmyeWzyeahRtjup3Oys', '09agIJMxCD2k87ys9Al0f0', '2NpPlwwDVYR5dIj0F31EcC']","['AVAION', 'VIZE', 'Leony']",3,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
50rcUhHimavzT1qq6QrgMG,Daddy Cool,63,154858,"['12A83CWwFiyXy90ScLWPIe', '54R6Y0I7jGUCveDTtI21nb']","['LIZOT', 'Boney M.']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
79wbJeLkXOlJh4AzaWCWfL,How Will I Know,74,213435,"['6XpaIBNiVzIetEPCWDvAFP', '6MDME20pz9RveH9rEXvrOM']","['Whitney Houston', 'Clean Bandit']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
1c1sdxrYLIiuJOlE7PPttb,Love Me Now (feat. Zoe Wees),77,195880,"['23fqKkggKUBHNkbKtXEls4', '03d2mJXSMtuPI0nIvLnhoS']","['Kygo', 'Zoe Wees']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
6f3Slt0GbA2bPZlz0aIFXN,The Business,87,164000,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,1,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
7HXBG0W8gFJwHUh5mVF9tf,Rise,75,193018,7f5Zgnp2spUuuzKplmRkt7,Lost Frequencies,1,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
2Xy1UIVfOlukyye6Fd0wrI,Follow Me,74,169672,"['20gsENnposVs2I4rQ5kvrf', '5CCwRZC6euC8Odo6y9X8jr']","['Sam Feldt', 'Rita Ora']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,84,176840,"['0H39MdGGX6dbnnQPt6NQkZ', '5rGrDvrLOV2VV8SCFVGWlj']","['SAINt JHN', 'Imanbek']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
4ga4WvRNhMsIL38pkBbnIN,Pressure (feat. Tove Lo),75,144391,"['60d24wfXkVzDSfLS6hyCjZ', '4NHQUGzhtTLFvgF5SZesLK']","['Martin Garrix', 'Tove Lo']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
0d1ujEcFwTqA4kWliTSJim,Don't You Hold Me Down,73,132597,"['7vk5e3vY1uw9plTHJAMwjN', '5mYakBbBzPMQTfkVMIgiDM']","['Alan Walker', 'Georgia Ku']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
0siYMEsGrzzzlWLXK5zJfS,BED,81,178087,"['6DgP9otnZw5z6daOntINxp', '5KKpBU5eC2tJDzf0wmlRp2', '1Cs0zKBU1kc0i8ypK3B9ai']","['Joel Corry', 'RAYE', 'David Guetta']",3,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
2zJ5nuyOQi4jBvToG3HHys,Another Chance,62,254130,"['1HT9k1ZSUL9IczSstOAgWJ', '5nki7yRhxgM509M5ADlN1p']","['Roger Sanchez', 'Oliver Heldens']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
6WkJ2OK163XXS2oARUC9JM,Dancin (feat. Luvli) - Krono Remix,79,198053,"['77qukKzmdI5BeMBR7WGUrN', '17TFSnqADESRM8BPSaM5aB', '6dqohi36avY0M9urnyhITr']","['Aaron Smith', 'Krono', 'Luvli']",3,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
50YQaQXog18lS11wGCl77u,Promises,65,201176,"['5fMUXHkw8R8eOP2RNVYEZX', '4CA8PTrbq1l5IgyvBA2JSV', '0Fb9qTWnjsB90xH3zWr4oa']","['Diplo', 'Paul Woolford', 'Kareen Lomax']",3,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
0azC730Exh71aQlOt9Zj3y,This Is What You Came For (feat. Rihanna),80,222160,"['7CajNmpbOovFoOoasH2HaY', '5pKCCKE2ajJHZ9KAiaK11H']","['Calvin Harris', 'Rihanna']",2,09tdi9JkYgC7DP0XYBl4Az,Electrónica 2021 & Dance : La Mejor Música Electronica & EDM Music 2022
