track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
7qLzoarYodaUHezJvndAdK,I'll Know,55,312453,5isSr1JUeHt5cgh8oWz1Ja,Bill Charlap Trio,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4JKre2anIXOgrSjvUbqISI,At Dawning,51,343774,0YB9WHBn7xTEQsvcFZRUdy,Cory Weeds,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
3YXb6d0LRSc3UaYafQ6acE,Moonlight in Vermont,51,413813,42ICgxJl0MTeVV8IeFGuP4,Joe Farnsworth,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
1oK3iRgQrsfVjPPCRf9KoG,A Child Not Yet Born,50,313244,"['7j8hJ3AUvRVQp2J4eFxjVi', '408lP4P33XEirDvYHxq8Ib', '3oPzcffnTlaWQILnSzNNh5', '2pAeDu7ejJdbpsxwJm1nhE', '5mqnoc3ceU0OebStAoldPL']","['Farnell Newton', 'Art Hirahara', 'Boris Kozlov', 'Joe Strasser', 'Brandon Wright']",5,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
6FTyd72Hx3B9jRogHKCty1,Theme for Ernie,51,434866,210tC5HRo1NpbeqCvWlJuv,Jim Snidero,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
56OCZENfcrmeCpufvWZd0P,Quiet Sense (feat. Paolo Fresu),49,283998,"['2NxFqOk7uZCe0hxfohdWJX', '2qW0CNnmvdEQwiabdareHi']","['Triosence', 'Paolo Fresu']",2,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
57V00mGqAIgnxjZGiAG8lE,No More Shadows - Remastered 2019,46,247627,6C65D20ASusYqHGSIktfED,Erroll Garner,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2uWwde69YzmzTOkIz9et5u,Future Memories,48,364080,"['5n2ZOxo4Dw6CcurZPIYlG9', '1TaMCGjRuinPW6jdc5sguu', '0M5jsQVMD2A3wpBLI9qs8W', '4akWuEzOy4ATwXu16fc7m3', '2RYXsAepfcxTMiShkD42pd']","['Mareike Wiening', 'Rich Perry', 'Glenn Zaleski', 'Alex Goodman', 'Johannes Felscher']",5,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
2wOlZrHUpRP9hQbqbV9Ae5,Together,18,672520,0Cioop2zjxXxtcPUme7R46,Matthew Halsall,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
5D3PlAFLpjhT8AHouXJpsR,Vila Bela,51,284165,3Y37ixG7KDgDqxSE6PL679,Amaro Freitas,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
62kqshOHXpzRjnjU32j3tk,Tutto,47,318000,3hTTFA9ODrbXSu1BJ82hsq,Lorenzo Tucci,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7AP03AuSv0uWp0i3ef9HaH,And So it Goes,49,284750,"['6sQipnSTh0MtEdmUM8w49E', '2kUPNaq8pnJ4Q7TYoFme5t', '2XeV55IyaL6jSh1yOlVOHG']","['Joshua Espinoza', 'Kris Monson', 'Jaron Lamar Davis']",3,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
7FApprsHm8hTyI7Ks4I1AX,Anthem,49,272613,6I3M904Y9IwgDjrQ9pANiB,Kenny G,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0mnUFEVSj8hqWj9jJWzOHi,For Heaven's Sake,20,712826,"['2uOemiMYq8Lh6yzwELpb3J', '649VhpjHo5aMtz2RlIlUSR', '5DFipPOMNcZT3XMGx59s5I']","['Kevin Hays', 'Ben Street', 'Billy Hart']",3,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
4d2YgepBRyYjr1EXM6slZq,Ascent,60,250869,"['408lP4P33XEirDvYHxq8Ib', '5o11IsGu9crJBiLe37pNWW', '0ILg6S11FRLlqKHKOfTJyY']","['Art Hirahara', 'Joe Martin', 'Rudy Royston']",3,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
53QNo32MLknNMvfO5u87DR,Naima,46,279707,3y3000WyBJpDtIGHI5y4FG,Lo Greco Bros Quartet,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
5wsvrblb3ooRyJQol7A2tN,Fatamorgana,46,272421,6Uipo5JiSrwG7oeHHE1E3Q,Rasmus Holm Quartet,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
5iSawMqnY9rgPkUHhSvyNT,Sideways,46,291500,6WPu073KUfyLXE41VEW9Ik,Anders Mogensen,1,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
