track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4xMbBESczlHPUO8QeYi56p,My Heart Goes (La Di Da) (feat. Topic),82,148960,"['4EPJlUEBy49EX1wuFOvtjK', '0u6GtibW46tFX7koQ6uNJZ']","['Becky Hill', 'Topic']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
6Dy1jexKYriXAVG6evyUTJ,OUT OUT (feat. Charli XCX & Saweetie),87,162603,"['6DgP9otnZw5z6daOntINxp', '4Q6nIcaBED8qUel8bBx6Cr', '25uiPmTg16RbhZWAqwLBy5', '6cK3NBO6uP7hh0oyuVELFl']","['Joel Corry', 'Jax Jones', 'Charli XCX', 'Saweetie']",4,37i9dQZF1DXaXB8fQg7xif,Dance Party
20on25jryn53hWghthWWW3,Do It To It,94,157890,"['4pnp4w9g30yLfVIAFnZMRd', '1c70yCa8sRgIiQxl3HOEFo']","['ACRAZE', 'Cherish']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
18asYwWugKjjsihZ0YvRxO,The Motto,88,164818,"['2o5jDhtHVPhrJdv3cEQ99Z', '4npEfmQ6YuiwW1GpUmaq3F']","['Tiësto', 'Ava Max']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
2prnn41CblB8B4yWACDljP,Love Tonight - David Guetta Remix Edit,83,158095,"['2TcGJdSOiOvITBzhvfX8XB', '1Cs0zKBU1kc0i8ypK3B9ai']","['Shouse', 'David Guetta']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
12N23tQKmfGcEO0z8ObwtM,Bad Habits - MEDUZA Remix,72,194331,"['6eUKZXaKkcviH0Ku9w2n3V', '0xRXCcSX89eobfrshSVdyu']","['Ed Sheeran', 'MEDUZA']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,92,148197,"['7f5Zgnp2spUuuzKplmRkt7', '6ydoSd3N2mwgwBHtF6K7eX']","['Lost Frequencies', 'Calum Scott']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
5bbtc9t6FcerXp732H2XNu,You - Topic Remix,65,157160,"['4ofCBoyEiGSePFAG500xev', '3WGpXCj9YhhfX11TToZcXP', '45dkTj5sMRSjrmBSBeiHym', '0u6GtibW46tFX7koQ6uNJZ']","['Regard', 'Troye Sivan', 'Tate McRae', 'Topic']",4,37i9dQZF1DXaXB8fQg7xif,Dance Party
1pvvg93oaSTKKCUzeEWYwo,24,59,200000,"['3oKnyRhYWzNsTiss5n4Z1J', '0qM78DOdgnNPpq2CpTNgU5']","['LP Giobbi', 'Born Dirty']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
7iydGgbqWUwYQNKiUXaoWq,Lovefool - Nicky Romero Remix,63,209500,"['7ACEUD7UsmmXrnj4OLt8f9', '5ChF3i92IPZHduM7jN3dpg']","['twocolors', 'Nicky Romero']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
1HHnQYqcnlnE9q7LGFFGFj,Off Of My Mind,71,164739,"['1VBflYyxBhnDc9uVib98rw', '09agIJMxCD2k87ys9Al0f0']","['Icona Pop', 'VIZE']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
7ft8GUKMIuFnH4lueyOTQi,BED - David Guetta Festival Mix,62,235200,"['6DgP9otnZw5z6daOntINxp', '5KKpBU5eC2tJDzf0wmlRp2', '1Cs0zKBU1kc0i8ypK3B9ai']","['Joel Corry', 'RAYE', 'David Guetta']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
5WoBAyXaOnKEfvsZocrPeT,My Humps,71,186046,"['1PzAgFVk9v8cxn9flrqrv5', '44T94QQEc60Jf7kqGY6Rip']","['Joshwa', 'Lee Foss']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
0MmCny6gGuYPM4wT1rqoz3,Something's about to go down,61,215090,4UwR1ir6PovnQiwX5jRPvF,Anti Up,1,37i9dQZF1DXaXB8fQg7xif,Dance Party
7ltLi7CG003USSGYsSba9s,It Don’t Matter - Spotify Singles,70,173742,"['0NGAZxHanS9e0iNHpR8f2W', '586uxXMyD5ObPuzjtrzO1Q', '2w9zwq3AktTeYYMuhMjju8']","['Alok', 'Sofi Tukker', 'INNA']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
5MxKAr6Ui5hQ9TtjdnlmrR,Anywhere With You,71,158807,"['4D75GcNG95ebPtNvoNVXhz', '5wwneIFdawNgQ7GvKK29Z3', '3XINWZaloea97SIRiyTJxX']","['Afrojack', 'Lucas & Steve', 'DubVision']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
7arsXR8AtExnOFN3v3HiJI,Going Dumb,71,168601,"['4AVFqumd2ogHFlRbKIjp1t', '1TcbdifqhtxLz77unBYJ7z']","['Alesso', 'CORSAK']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy),84,167903,"['0xRXCcSX89eobfrshSVdyu', '5KNNVgR6LBIABRIomyCwKJ']","['MEDUZA', 'Dermot Kennedy']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
0Cnb8XdGDMHAmIRBUJMkIS,Where The Lights Are Low,74,136995,"['2XnY6NZ6rENbLMYabjkRey', '4bL2B6hmLlMWnUEZnorEtG', '49T8i1paijMAK9rYtjO4lu']","['Toby Romeo', 'Felix Jaehn', 'FAULHABER']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
3ZFosXgzvmN6wXs9wTaIxh,By Your Side (feat. Tom Grennan) - Oliver Heldens Remix,63,238064,"['7CajNmpbOovFoOoasH2HaY', '5SHxzwjek1Pipl1Yk11UHv', '5nki7yRhxgM509M5ADlN1p']","['Calvin Harris', 'Tom Grennan', 'Oliver Heldens']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
2Eq5AMlqaeqg4sunGbHtV2,In My Mind - Joel Corry Remix,63,184000,"['0NGAZxHanS9e0iNHpR8f2W', '5y2Xq6xcjJb2jVM54GHK3t', '6DgP9otnZw5z6daOntINxp']","['Alok', 'John Legend', 'Joel Corry']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
1O5aDl6qjgN80CJJ9JHDgw,The Night (feat. Purple Velvet Curtains),57,171796,"['5Nd61ppMOQbbtF1HV13kBO', '62SCu33InHVq97VaWw3eof', '5UNXmWQKKqqBCxmcotxXmO']","['NuBass', 'MPH', 'Purple Velvet Curtains']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
0bI7K9Becu2dtXK1Q3cZNB,Don't Be Shy,89,140500,"['2o5jDhtHVPhrJdv3cEQ99Z', '790FomKkXshlbRYZFtlgla']","['Tiësto', 'KAROL G']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
0SyxZC4wlqAwf20cHE6Xon,Bulletproof,71,162213,"['3K2zB87GZv1krx031en5VA', '6HQ6vf4AloXyVNdyJhrX1J']","['La Roux', 'GAMPER & DADONI']",2,37i9dQZF1DXaXB8fQg7xif,Dance Party
2rUsJXt4NeeDiIU6sBvrxo,All We Got (feat. KIDDO) - Ofenbach Remix,67,129814,"['3t5xRXzsuZmMDkQzgOX35S', '5pXe6yFchq1oyYK3rq2A8i', '4AKwRarlmsUlLjIwt38NLw']","['Robin Schulz', 'KIDDO', 'Ofenbach']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
2USlegnFJLrVLpoVfPimKB,Thunder,85,160000,"['5ENS85nZShljwNgg4wFD7D', '0TKFPt9w0AAEnhB9bd0pLy', '3iMzbvXlgNUpoFccD60bvr']","['Gabry Ponte', 'LUM!X', 'Prezioso']",3,37i9dQZF1DXaXB8fQg7xif,Dance Party
