track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
1WGmhglF1ghRiHsx4YUq86,Love & War,72,239146,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7uLFOXgLrS90tEYPO1DGXy,Man in the Mirror,80,215303,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2AaJeBEq3WLcfFW1y8svDf,By Your Side,81,194050,45TgXXqMDdF8BkjA83OM7z,Rod Wave,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
0qHPxjC83zQYcxe39xSShx,thailand,77,200958,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4A8cWXxKfIL3lAyUDzXbCF,Super Gremlin,86,200547,46SHBwWsqBkxI7EeeBEQG7,Kodak Black,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
2QIBJFl8DJR1mDh9GwfZef,Don’t Play (with Lil Baby),79,156734,"['6AgTAQt8XS6jRWi4sX7w49', '5f7VJjfbwm532GiveGC0ZK']","['Polo G', 'Lil Baby']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
6DmhZu3SFOPOf4PkngL6TE,Too Easy (Remix) [feat. Future & Roddy Ricch],73,197093,"['2hlmm7s2ICUX0LVIhVFlZQ', '1RyvyyTE3xzB2ZywiAwp0i', '757aE44tKEUQEqRuT6GnEB']","['Gunna', 'Future', 'Roddy Ricch']",3,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
3rjwafyisDpLdoJ4RecHp6,moved to miami (feat. Lil Baby),74,222225,"['757aE44tKEUQEqRuT6GnEB', '5f7VJjfbwm532GiveGC0ZK']","['Roddy Ricch', 'Lil Baby']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
15OlC497ScJt9N2BS8lOev,LLC (feat. Moneybagg Yo),75,195153,"['3Rx4PJ7SP6unkOk5elPUK7', '3tJoFztHeIJkJWMrx0td2f']","['Money Man', 'Moneybagg Yo']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
7oAN2D1k9Qz8qh2JaNcZrj,NO TRENDS,74,151299,6rIaHuCIUu32uj2CjlEBN3,Mike Dimes,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1tkipCYkIgti8f1tqjfcWe,Ambition For Cash,78,143480,0RESbWvOMyua0yuyVrztJ5,Key Glock,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4yNoUQkYf1QF8iYlEzNynH,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",83,279853,"['0Njy6yR9LykNKYg9yE23QN', '5QdEbQJ3ylBnc3gsIASAT5', '3hcs9uc56yIGFCSy9leWe7', '1URnnhqYAYcrqrcwql10ft']","['Nardo Wick', 'G Herbo', 'Lil Durk', '21 Savage']",4,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1NE8EEo8xpxTLAYHJbmsrY,Retaliation,72,148687,4JhbRL6zaItAyzqx4gHTqz,22Gz,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
1z7LV5wkExwW8YJk0IrPUA,Jumpin (feat. Polo G),80,181198,"['0ErzCpIMyLcjPiwT4elrtZ', '6AgTAQt8XS6jRWi4sX7w49']","['NLE Choppa', 'Polo G']",2,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
4R67rQNSbbsR4TdUVOIdez,ESCAPE PLAN,85,149610,0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,1,37i9dQZF1DX0XUsuxWHRQd,RapCaviar
