track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0rsTDgGRlXKuzSAxcdb4Ns,Borracho,81,219750,"['77ziqFxp5gaInVrF2lj4ht', '0QHgL1lAIqAw0HtD7YldmP']","['Sech', 'DJ Khaled']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6lX6l7OuA3qrnIRfdsr0dw,Medallo,88,233453,"['1TA5sGRlKUJXBN4ZyJuDIX', '14zUHaJZo1mnYtn6IBRaRP', '1pQWsZQehhS4wavwh7Fnxd']","['Blessd', 'Justin Quiles', 'Lenny Tavárez']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6ZOcbKub95XSDESsKKuH41,Desesperados,83,224996,"['1mcTU81TzQhprhouKaTkpq', '37230BxxYs9ksS7OkZw3IU']","['Rauw Alejandro', 'Chencho Corleone']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2JPLbjOn0wPCngEot2STUS,Yonaguni,93,206710,4q3ewBCX7sLwd24euuV69X,Bad Bunny,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
05bfbizlM5AX6Mf1RRyMho,AM Remix,88,261334,"['5hdhHgpxyniooUiQVaPxQ0', '1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X']","['Nio Garcia', 'J Balvin', 'Bad Bunny']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
51yjkR9blUWtAphR7lZl5y,Ley Seca,80,263653,"['0EFisYRi20PTADoJrifHrz', '2R21vXR83lH98kGeO99Y66']","['Jhay Cortez', 'Anuel AA']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2BEcap3xJtmiPaHKyfQi4e,Nostálgico,90,209883,"['1fctva4kpRbg2k3v7kwRuS', '1mcTU81TzQhprhouKaTkpq', '7bXgB6jMjp9ATFy66eO08Z']","['Rvssian', 'Rauw Alejandro', 'Chris Brown']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,79,417920,"['5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno', '4q3ewBCX7sLwd24euuV69X', '1TtXnWcUs0FCkaZDPGYHdf', '1i8SpTcr7yvPOmcqrbnVXY', '1SupJlEpv7RS2tPNRaHViT']","['Nio Garcia', 'Casper Magico', 'Bad Bunny', 'Darell', 'Ozuna', 'Nicky Jam']",6,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5Mw46yRtdiOdjqSG0eDItr,Emojis de Corazones (feat. Los Legendarios),82,303426,"['3E6xrwgnVfYCrCs0ePERDz', '0EFisYRi20PTADoJrifHrz', '1i8SpTcr7yvPOmcqrbnVXY', '0n6sKrG0xKAf8xmdqeNGke']","['Wisin', 'Jhay Cortez', 'Ozuna', 'Los Legendarios']",4,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2YZDh5CecWx0qlFiTvqVQ9,Colorín Colorado,83,194989,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
27RSJHEA99Y0Vsow7nA37A,911 - Remix,84,208631,"['77ziqFxp5gaInVrF2lj4ht', '0EFisYRi20PTADoJrifHrz']","['Sech', 'Jhay Cortez']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1mohfLaTJtB2RplHLQVM70,La Jeepeta - Remix,75,345240,"['5hdhHgpxyniooUiQVaPxQ0', '2R21vXR83lH98kGeO99Y66', '7iK8PXO48WeuP03g8YR51W', '1GKIlPFdcewHtpDVCQ8zmJ', '3Wb38LDP3N4tkobValgE9D']","['Nio Garcia', 'Anuel AA', 'Myke Towers', 'Brray', 'Juanka']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3No3zHVwKadKDR00kZdmAB,FRIKI,76,144986,"['2LRoIwlKmHjgvigdNGBHNo', '790FomKkXshlbRYZFtlgla']","['Feid', 'KAROL G']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5W1qmxHrMlQGGAiFA3ZQqP,Se Le Ve,82,277693,"['3fZk3Gm5dN5v5yfYMQ04Bx', '0KPX4Ucy9dk82uj4GpKesn', '77ziqFxp5gaInVrF2lj4ht', '14zUHaJZo1mnYtn6IBRaRP', '4SsVbpTthjScTS7U2hmr1X', '3EiLUeyEcA6fbRPSHkG5kb', '1pQWsZQehhS4wavwh7Fnxd']","['Dímelo Flow', 'Dalex', 'Sech', 'Justin Quiles', 'Arcangel', 'De La Ghetto', 'Lenny Tavárez']",7,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1ZcrHpBbILPNfhBtPhQVHh,Se Menea,80,190880,"['33ScadVnbm2X8kkUqOkC6Z', '5hdhHgpxyniooUiQVaPxQ0']","['Don Omar', 'Nio Garcia']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7iHHlCbsFou5DZSW5HCPfs,Ella - Remix,84,330477,"['2NfSBtmWe7oPw1EmetJVso', '47MpMsUfWtgyIIBEFOr4FE', '1pQWsZQehhS4wavwh7Fnxd', '2LmcxBak1alK1bf7d1beTr', '7a0XAaPaK2aDSqa8p3QnC7']","['Boza', 'Lunay', 'Lenny Tavárez', 'Juhn', 'Beéle']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3PwRuzdphgedcWVUOVYJ7I,Cúrame,89,164705,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6DdC4I8ENm7zHH9Jy9pFg4,VACAXIONES,79,186693,2LRoIwlKmHjgvigdNGBHNo,Feid,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3fHEwAssCgM4wJYdjT5Ch0,Súbelo,84,239797,"['2R21vXR83lH98kGeO99Y66', '7iK8PXO48WeuP03g8YR51W', '0EFisYRi20PTADoJrifHrz']","['Anuel AA', 'Myke Towers', 'Jhay Cortez']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4gzsuuZypVbxs0Af1LSZyB,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),92,207301,"['0GM7qgcRCORpGnfcN2tCiB', '4q3ewBCX7sLwd24euuV69X', '2QWIScpFDNxmS6ZEMIUvgm']","['Tainy', 'Bad Bunny', 'Julieta Venegas']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
704LUEih663hiE3CnyUrFW,SEJODIOTO,86,181106,790FomKkXshlbRYZFtlgla,KAROL G,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
0G2zPzWqVjR68iNPmx2TBe,Volando - Remix,89,273474,"['0Q8NcsJwoCbZOHHW63su5S', '4q3ewBCX7sLwd24euuV69X', '77ziqFxp5gaInVrF2lj4ht']","['Mora', 'Bad Bunny', 'Sech']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
073yIM7v2j6XadD4Nkn0Fh,Dile (Homenaje),81,228933,0EFisYRi20PTADoJrifHrz,Jhay Cortez,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6P096SaOzrgGxs8NWOfX7M,Salimo de Noche,89,177857,"['5Y3MV9DZ0d87NnVm56qSY1', '2x7PC78TmgqpEIjaGAZ0Oz']","['Tiago PZK', 'Trueno']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4sIVl8rmGPDemhnod4JID3,FUMETEO - Remix,75,214880,"['2LRoIwlKmHjgvigdNGBHNo', '0Q8NcsJwoCbZOHHW63su5S', '5XJDexmWFLWOkjOEjOVX3e']","['Feid', 'Mora', 'Eladio Carrion']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6GPBXtnSepHovJi1uD1Ggj,La Botella,82,226010,"['14zUHaJZo1mnYtn6IBRaRP', '1r4hJ1h58CWwUQe3MxPuau']","['Justin Quiles', 'Maluma']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
5nNcBfbJu1RjBoKplRPw5m,La Busqué (with Yandel & Rauw Alejandro),64,271466,"['4QrBoWLm2WNlPdbFhmlaUZ', '0eHQ9o50hj6ZDNBt6Ys1sD', '1mcTU81TzQhprhouKaTkpq']","['KEVVO', 'Yandel', 'Rauw Alejandro']",3,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1JpzJfxjHGFUyTHXLZidok,Monastery,81,189333,"['7j6DKwmjbxvpQO8h914uEz', '2LRoIwlKmHjgvigdNGBHNo']","['Ryan Castro', 'Feid']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4vv8wcnT04GHHbUCFBAiHF,23 (With Ape Drums),80,167504,"['7qYeIN2r4H1kBvr0Gm9Iav', '4HJnsUVBubdKJ2aV0sr48u']","['Randy', 'Ape Drums']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4VlVJff7viYXRb7TbmXGGP,La Llamada,74,224267,"['2qbEtwBVyobgpNP5KcHE9J', '7iK8PXO48WeuP03g8YR51W']","['Pusho', 'Myke Towers']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
4yoc5cUWk4OFvqOcvFvw0o,Dictadura,80,208007,2R21vXR83lH98kGeO99Y66,Anuel AA,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
7iBb6zKia1sx84BM9LUoxx,Si Te Atreves,70,169360,"['1vyhD5VmyZ7KMfW5gqLgo5', '21451j1KhjAiaYKflxBjr1']","['J Balvin', 'Zion & Lennox']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
3NzO25bvpU4lUf8kYvcrd1,Cuarentena,73,131333,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
1WedZeiezCmCEOzLwhx0hV,Poblado - Remix,81,393280,"['1vyhD5VmyZ7KMfW5gqLgo5', '790FomKkXshlbRYZFtlgla', '1SupJlEpv7RS2tPNRaHViT', '6VOoiigTiLVgsMQPP1JOdC', '5IYRfypwG9BDDh5ZRPI80z', '5OBK3iQwjNQqElPmn4TgAE']","['J Balvin', 'KAROL G', 'Nicky Jam', 'Crissin', 'Totoy El Frio', 'Natan & Shander']",6,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
43qcs9NpJhDxtG91zxFkj7,Fiel - Remix,81,349546,"['3E6xrwgnVfYCrCs0ePERDz', '0EFisYRi20PTADoJrifHrz', '2R21vXR83lH98kGeO99Y66', '0n6sKrG0xKAf8xmdqeNGke', '7iK8PXO48WeuP03g8YR51W']","['Wisin', 'Jhay Cortez', 'Anuel AA', 'Los Legendarios', 'Myke Towers']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
6KGGhJoXrztLp8ZT91zizs,YIN YAN,81,189475,"['1bAftSH8umNcGZ0uyV7LMg', '2IMZYfNi21MGqxopj9fWx8']","['Duki', 'Rels B']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
40xJTwBKb5x3wjlLOeycaL,MONEYMAN (feat. Galee Galee & ITHAN NY),73,310666,"['768O5GliF0bqscyghggrbE', '2XcZshqzPKm3iZcmt73R8D', '0NnUMWDCDi1snuMja6IdxH', '0x5lhIYknBUEozHuXjkwUs', '0LshXUmIub6xKvOq4QmtNs']","['Polimá Westcoast', 'Pablo Chill-E', 'Harry Nach', 'Galee Galee', 'ITHAN NY']",5,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
67ii9wXrKQpBjfKS3u1iw1,Casualidad,61,161493,4ixNZvQuuzCDxBsxO9zE6L,Gonzy,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2KcNrONbZ0hvBPjvrDO2tx,ALMAS GEMELAS,83,235411,7iK8PXO48WeuP03g8YR51W,Myke Towers,1,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
20ChN6ZWJ2yhuXcE6SKHDM,Wow Wow (feat. Becky G),80,199772,"['1DxLCyH42yaHKGK3cl5bvG', '4obzFoKoKRHIphyHzJ35G3']","['Maria Becerra', 'Becky G']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
2BfkUFn2EbEKYOMkm90HuP,DEJA VU,68,178375,"['0GM7qgcRCORpGnfcN2tCiB', '0eHQ9o50hj6ZDNBt6Ys1sD']","['Tainy', 'Yandel']",2,37i9dQZF1DWY7IeIP1cdjF,Baila Reggaeton
