track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,74,214653,1dfeR4HaWDbWqFHLkxsg1d,Queen,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,84,208400,711MCceyCBcFnzjGY4Q7Un,AC/DC,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
3YBZIN3rekqsKxbJc9FZko,Paradise City,79,405640,3qm84nBOXUEQ2vnTfUTTFC,Guns N' Roses,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
39shmbIHICJ2Wxnk1fPSdz,Should I Stay or Should I Go - Remastered,79,188986,3RGLhK1IP9jnYFH4BRFJBS,The Clash,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,77,175173,1Fmb52lZ6Jv7FMWXXTPO3K,Joan Jett & The Blackhearts,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,77,333893,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
5MxNLUsfh7uzROypsoO5qe,Dream On,80,266960,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,0,249293,58lV9VcRSjABbAbfWS6skp,Bon Jovi,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
70LcF31zb1H0PyJoS1Sx1r,Creep,84,238640,4Z8W4fKeB5YxbusRsdQVPb,Radiohead,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',82,250986,0rvjqX7ttXeg3mTy8Xscbt,Journey,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,84,257800,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,84,232106,4F84IBURUo98rz4r61KF70,The White Stripes,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
1Ly0ssAgeM7YqdHptao8Oe,Paranoid,0,168440,5M52tdBnJaKSvOpJGz8mfZ,Black Sabbath,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,76,230480,2AM4ilv6UzW0uMRuqKtDgN,ZZ Top,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,82,264306,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,84,255493,711MCceyCBcFnzjGY4Q7Un,AC/DC,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,84,391376,0ECwFtbIWEVNwjlrfc6xoL,Eagles,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,1,281147,4MVyzYMgTwdP7Z49wAZHx0,Lynyrd Skynyrd,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,80,160133,3IYUhFvPQItj6xySrBmZkd,Creedence Clearwater Revival,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
4P5KoWXOxwuobLmHXLMobV,Come As You Are,75,218920,6olE6TJLqED3rqDCT0FyPh,Nirvana,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,73,210373,1WRM9i067hd2ujxxi8FI3m,Steppenwolf,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
3qT4bUD1MaWpGrTwcvguhb,Black Dog - Remaster,75,295386,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2sXp9Qmvc7mRaDBjBgcGGi,Every Breath You Take - Remastered 2003,1,253886,5NGO30tJxFlKixkPSgXcFE,The Police,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
5BIMPccDwShpXq784RJlJp,Enter Sandman,50,331573,2ye2Wgw4gimLv2eAKyk1NB,Metallica,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,78,222813,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,79,259946,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,78,235546,0PFtn5NtBbbUNbU9EAmIWF,TOTO,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
61Q9oJNd9hJQFhSDh6Qlap,House Of The Rising Sun,62,269720,3ICflSq6ZgYAIrm2CTkfVP,The Animals,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,67,350400,0WwSkZ7LtFUFjGjMZBMt6T,Dire Straits,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
5wj4E6IsrVtn8IBJQOd0Cl,Wonderwall - Remastered,6,258732,2DaxqgrOhkeH0fpeiQq2f4,Oasis,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
5Th6EdNVhxp0TPX41ZLZk6,One Way Or Another - Remastered,55,212706,4tpUmLEVLCGFr93o8hFFIB,Blondie,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
11LmqTE2naFULdEP94AUBa,Heart-Shaped Box,79,281160,6olE6TJLqED3rqDCT0FyPh,Nirvana,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
7MRyJPksH3G2cXHN8UKYzP,American Girl,73,214733,4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
5LNiqEqpDc8TuqPy79kDBu,Edge of Seventeen - 2016 Remaster,62,329413,7crPfGd2k81ekOoSqQKWWz,Stevie Nicks,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
6L89mwZXSOwYl76YXfX13s,Basket Case,81,181533,7oPftvlwr6VrsViSDV7fJY,Green Day,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
0RO9W1xJoUEpq5MEelddFb,Stairway to Heaven - Remaster,64,482830,36QJpDe2go2KgaRleHCDTp,Led Zeppelin,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
1AhDOtG9vPSOmsWgNW0BEY,Bohemian Rhapsody - Remastered 2011,0,354320,1dfeR4HaWDbWqFHLkxsg1d,Queen,1,37i9dQZF1DWXRqgorJj26U,Rock Classics
