track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
18asYwWugKjjsihZ0YvRxO,The Motto,88,164818,"['2o5jDhtHVPhrJdv3cEQ99Z', '4npEfmQ6YuiwW1GpUmaq3F']","['Tiësto', 'Ava Max']",2,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
2fzqpmKuYcNQS7clW1XxAS,Seven Nation Army (feat. KOYSINA),66,133000,"['3HphLd0XiELTvIPYf55dYC', '0U3b0BjITtQHwjwBVtiGcO', '5n7PIY3yS7npRtQuI5qgjF']","['Strange Fruits Music', 'DMNDS', 'KOYSINA']",3,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
3M89zvwwb1jtDUDKYNsdiA,Calabria (feat. Lujavo & Nito-Onna),72,128500,"['3HphLd0XiELTvIPYf55dYC', '0U3b0BjITtQHwjwBVtiGcO', '5I6WLC9Auo6aeTRHPQbdOv', '5QCGlnijOcNxsXXNzZkcWL', '79GiwayvvpyZVErpH6BLsY']","['Strange Fruits Music', 'DMNDS', 'Fallen Roses', 'Lujavo', 'Nito-Onna']",5,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
20on25jryn53hWghthWWW3,Do It To It,94,157890,"['4pnp4w9g30yLfVIAFnZMRd', '1c70yCa8sRgIiQxl3HOEFo']","['ACRAZE', 'Cherish']",2,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
6FhhABinxDtRNKsicIv1EF,SUMMER JAM,61,142080,"['3HphLd0XiELTvIPYf55dYC', '3WSK3JppX3N41XHVwQp7Gt']","['Strange Fruits Music', 'Steve Void']",2,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
5WyD2lZhEeTNg91oEF0TYK,Blue (Da Ba Dee),70,132479,"['3HphLd0XiELTvIPYf55dYC', '3WSK3JppX3N41XHVwQp7Gt']","['Strange Fruits Music', 'Steve Void']",2,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
6zSpb8dQRaw0M1dK8PBwQz,Cold Heart - PNAU Remix,95,202735,"['3PhoLpVuITZKcymswpck5b', '6M2wZ9GZgrQXHCFfjv46we', '6n28c9qs9hNGriNa72b26u']","['Elton John', 'Dua Lipa', 'PNAU']",3,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
1W1q2zYXgpU8G96dnvMqdE,Alors On Danse,65,122632,"['3HphLd0XiELTvIPYf55dYC', '0U3b0BjITtQHwjwBVtiGcO', '3WSK3JppX3N41XHVwQp7Gt']","['Strange Fruits Music', 'DMNDS', 'Steve Void']",3,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
5pp3CrM9oFs1Lq9sTwOmKa,Tom's Diner,52,158750,3HphLd0XiELTvIPYf55dYC,Strange Fruits Music,1,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
46nvQpUDsxpS08UTFOeKTA,Tell It To My Heart,83,165524,"['0xRXCcSX89eobfrshSVdyu', '2FXC3k01G6Gw61bmprjgqS']","['MEDUZA', 'Hozier']",2,6xGLprv9fmlMgeAMpW0x51,"Strange Fruits Music 🍉 dance music to workout, game, party"
