artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,43061155,"['dance pop', 'pop']",87
4IWBUUAFIplrNtaOHcJPRM,James Arthur,10246473,"['pop', 'talent show', 'uk pop']",79
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19433077,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",80
04gDigrS5kc9YWfZHwBETP,Maroon 5,37779181,['pop'],85
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8026326,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",72
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,10653119,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",74
540vIaP2JwjQb9dm3aArA4,DJ Snake,8059089,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']",77
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,49273630,"['canadian contemporary r&b', 'canadian pop', 'pop']",93
46GXASE9LHzyssNqKOInUu,Dawin,222149,['nyc pop'],52
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6302098,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",74
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3610340,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']",75
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,4772817,['ohio hip hop'],81
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,21250573,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",76
7gAppWoH7pcYmphCVTXkzs,The Vamps,5345821,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",69
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,15609956,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",76
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,82969929,"['dance pop', 'pop']",88
02A3cEvlLLCbIMVDrK2GHV,Starley,169933,"['aussietronica', 'australian pop', 'dance pop', 'deep tropical house', 'edm', 'electropop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']",57
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1089551,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock']",70
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,39162236,"['canadian pop', 'dance pop', 'pop', 'viral pop']",84
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4898937,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky', 'uk pop']",75
0jKQrxK2zHqxyOAyIMrUQt,SUD,499783,"['opm', 'pinoy rock']",51
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,17380176,"['dance pop', 'pop', 'viral pop']",83
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3689262,"['dance pop', 'edm', 'electro house', 'pop dance', 'pop rap', 'tropical house']",73
3e7awlrlDSwF3iM0WBjGMp,Little Mix,10705371,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",77
3iri9nBFs9e4wN7PLIetAw,gnash,1583368,['pop'],64
31TPClRtHm23RisEBtV3X7,Justin Timberlake,12164141,"['dance pop', 'pop']",80
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6923144,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,7109198,"['australian pop', 'dance pop', 'pop', 'viral pop']",76
3TVXtAsR1Inumwj472S9r4,Drake,66787419,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",95
6Dd3NScHWwnW6obMFbl1BH,Daya,1419315,"['alt z', 'dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",70
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62410,[],41
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,2671017,"['opm', 'pinoy rock']",61
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,318469,"['dance pop', 'downtempo', 'pop', 'post-teen pop', 'shiver pop']",56
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,400289,"['pop', 'pop rap', 'r&b']",62
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,1389753,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'swedish tropical house', 'tropical house']",66
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1313191,['pop rap'],67
3wbCeEPAW6po7J46netxMT,Up Dharma Down,869900,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",55
0q4NrXqJnc367PieejuROJ,Vice,19847,['chicano rap'],43
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,102048541,"['pop', 'uk pop']",90
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,7536896,['opm'],70
3r3Rkuc4jmZHXgchgaXwnv,Suzi,8388,[],43
15NtJjjHRFybdNSMyM9smT,Nevada,14744,['eurodance'],48
7CajNmpbOovFoOoasH2HaY,Calvin Harris,22814532,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",85
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony,14782432,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",68
1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,613896,['opm'],46
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,10364374,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house', 'uk pop']",76
0NGAZxHanS9e0iNHpR8f2W,Alok,11760643,"['electro house', 'pop nacional', 'slap house']",79
787bCXOIvGeBw0Bc4kEjhD,Luke Christopher,165860,"['indie pop rap', 'pop rap']",48
0DnjaQqb436AH1idffI6CQ,Yeng Constantino,2379751,['opm'],54
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,65517755,"['canadian pop', 'pop']",90
1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1499976,['opm'],52
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,1805935,"['hip hop', 'pop', 'portland hip hop', 'rap']",69
2KsP6tYLJlTBvSUxnwlVWa,Mike Posner,1290359,"['dance pop', 'edm', 'pop', 'pop rap']",70
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham,1965547,"['danish pop', 'pop', 'scandipop']",71
05o1zW8b6PV6rEquXr74sB,State of Sound,45077,"['deep tropical house', 'swedish tropical house', 'tropical house']",40
5y2Xq6xcjJb2jVM54GHK3t,John Legend,6258537,"['neo mellow', 'neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",77
5WUlDfRSoLAfcVSX1WnrxN,Sia,24283414,"['australian dance', 'australian pop', 'dance pop', 'pop']",83
4BNWanhw4AjSXjBm9L1Jzy,Juris,684883,['opm'],51
6T5tfhQCknKG4UnH90qGnz,DNCE,4264598,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",71
2kZThDGZcHl4klYYFk0v8n,Moonstar88,870375,"['opm', 'pinoy rock', 'pop rock']",52
4dpARuHxo51G3z768sgnrY,Adele,42108900,"['british soul', 'pop', 'pop soul', 'uk pop']",84
4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,14884,['opm'],34
0bdfiayQAKewqEvaU6rXCv,MØ,1379951,"['dance pop', 'danish pop', 'electropop', 'pop', 'tropical house']",69
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,11638662,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'uk pop']",74
3t5xRXzsuZmMDkQzgOX35S,Robin Schulz,2958790,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",77
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,38313738,"['permanent wave', 'pop']",88
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,35015930,['electro house'],80
5M0lbkGluOPXLeFjApw8r8,DRAM,821046,"['pop rap', 'rap', 'underground hip hop', 'virginia hip hop']",61
3YQKmKGau1PzlVlkL1iodx,Twenty One Pilots,22482369,"['modern rock', 'rock']",80
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,3228851,['opm'],56
2tQbSWgZLIB8MXMnsXVRro,Nina,613870,"['dance pop', 'opm', 'pop rock']",54
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,156327,['opm'],49
5elcNQkZ6FCZA3grSOMngY,MYMP,942225,['opm'],58
6d47Z08T4snK50HgTEHo5Z,Sage The Gemini,819012,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'viral rap']",64
6gK1Uct5FEdaUWRWpU4Cl2,Petit Biscuit,921683,['tropical house'],63
6ZgBJRjJsK1iOJGKGZxEUv,South Border,870675,"['classic opm', 'dance pop', 'opm']",55
24fEOzlKhgSNLIcy9NdmwH,James Reid,315901,"['deep neofolk', 'opm', 'pinoy r&b']",51
3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1008747,"['opm', 'pinoy rock', 'pop rock']",51
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,49972256,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']",87
6s22t5Y3prQHyaHWUN1R1C,AJR,2488547,['modern rock'],76
2wY79sveU1sp5g7SokKOiI,Sam Smith,20081402,"['dance pop', 'pop', 'uk pop']",83
4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,641088,['opm'],51
21E3waRsmPlU7jZsS13rcj,Ne-Yo,7399231,"['dance pop', 'pop', 'urban contemporary']",77
0ekbDNE2eOq8QiaXM34wer,Howie Day,306179,"['acoustic pop', 'neo mellow', 'pop rock']",55
2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,213057,['opm'],42
0jarApAsbmiCkYhz0590mE,Freestyle,217912,"['dance pop', 'opm', 'pop rock']",56
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,8825332,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'uk pop']",75
