,track_name,track_id,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Isa lang,0HAG6nIiEKd75yGpovuSJQ,Arthur Nery,0.429,0.464,6,-8.445,0,0.0719,0.783,0.0,0.0846,0.375,121.17
1,Pagsamo,0WZqHCoOBXqgCCIsUZLC2a,Arthur Nery,0.644,0.315,6,-9.382,1,0.0339,0.706,0.00162,0.0962,0.356,60.001
2,Higa,7gfrASeOt73YWvpIv1fU8E,Arthur Nery,0.656,0.336,9,-10.538,1,0.0434,0.453,0.0,0.106,0.182,125.058
3,Happy w u,0EA8jl8Wje9ALRKC8Qlzyt,Arthur Nery,0.596,0.182,6,-16.004,1,0.0378,0.903,0.0,0.0909,0.268,111.734
4,Binhi,092cPwFlwBXdB3QF3X469W,Arthur Nery,0.46,0.311,5,-10.235,1,0.0319,0.961,0.000819,0.189,0.22,124.193
5,TAKE ALL THE LOVE,2v6jmF6VQWS96x6tSg05IC,Arthur Nery,0.491,0.486,5,-6.588,1,0.0347,0.285,0.0,0.0976,0.262,82.411
6,Sinag (feat. Sam Benwick),5DARNIgi6aaJxGD5SKAUal,Arthur Nery,0.54,0.287,9,-12.92,1,0.0314,0.876,0.00012,0.0803,0.215,75.02
7,Life Puzzle,42A9RtOizRYgILd4muMvto,Arthur Nery,0.719,0.234,4,-13.983,1,0.0884,0.586,0.0,0.0785,0.362,93.924
8,Cotton Candy,1t19LlMX4aomJ1U9MDzan8,Arthur Nery,0.473,0.371,1,-10.269,0,0.128,0.697,0.0,0.103,0.292,179.986
9,Hung Up,5YHXL4ggZEHZUgQBgLF0Oz,Arthur Nery,0.549,0.36,11,-10.244,1,0.0549,0.771,0.000113,0.691,0.258,116.667
10,Mahika,47sq83n5WN22ZzYnGn8aTy,Adie,0.635,0.451,7,-7.406,1,0.0391,0.742,0.0,0.139,0.601,81.976
11,Paraluman,2jbf9EytR7fzpSrPWAYCf9,Adie,0.519,0.246,5,-13.85,1,0.0396,0.774,2.35e-06,0.0946,0.108,90.121
12,Tahanan,5CUQnKjA6nlteCnxMKsjIu,Adie,0.394,0.366,3,-10.855,1,0.031,0.799,1.05e-06,0.315,0.3,109.862
13,Dungaw,3XlzKAS2zostN3UiBJvLW6,Adie,0.613,0.291,5,-12.113,1,0.0453,0.696,0.0,0.0823,0.264,119.334
14,Kabado,7oLe1cVRqLpoH2NozJ78mh,Adie,0.55,0.461,1,-10.907,1,0.0457,0.763,0.00485,0.0682,0.17,137.893
15,You'll Be Safe Here,4whLOE7hwNIAykoMcSZmvO,Adie,0.376,0.13,11,-12.697,1,0.0321,0.943,2.43e-06,0.0894,0.256,100.983
16,Luha,2f0T6IDfPT9sNJqqJxEOTR,Adie,0.355,0.179,8,-12.709,1,0.0373,0.905,0.00261,0.109,0.228,84.287
17,Tinatangi (feat. Chrstn),5Pgssd39LAfVsR9gvUVwU7,Adie,0.479,0.463,5,-9.127,1,0.0318,0.773,0.000478,0.0942,0.359,73.816
18,Sawa Na,0LoXmqWDjLVi6uHh25DtaP,Adie,0.651,0.417,9,-10.191,1,0.0265,0.494,0.000678,0.0856,0.359,108.001
19,Pano,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839
20,Give Me Your Forever,4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,99.905
21,Asan Ka Na Ba,5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,0.676,0.768,5,-5.695,0,0.0294,0.149,0.00147,0.345,0.493,105.999
22,Nangangamba,1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,0.62,0.547,1,-6.772,1,0.0248,0.112,0.0,0.19,0.208,98.032
23,Habang Buhay,63bmIgH9sS6sX5Sc7MetGq,Zack Tabudlo,0.62,0.668,9,-5.719,1,0.0305,0.088,0.0,0.362,0.183,118.013
24,Binibini,55RMhrPQYA6vLu5YMgXxFD,Zack Tabudlo,0.642,0.374,5,-10.606,1,0.032,0.423,1.54e-06,0.435,0.0979,129.863
25,Yakap,3h8uWt8HNyDNubPSEBgTPG,Zack Tabudlo,0.738,0.39,8,-8.437,1,0.0334,0.409,0.0,0.107,0.547,113.979
26,Pero,1i7JnFAxC15AuF1dsosbYM,Zack Tabudlo,0.644,0.412,5,-9.14,0,0.0307,0.796,0.127,0.0906,0.206,118.49
27,As You Are,7vu53hQrIoH7UGeh6qcct1,Zack Tabudlo,0.715,0.438,10,-6.147,0,0.0373,0.353,1.75e-06,0.108,0.447,81.07
28,Iba (ft. Moira Dela Torre),6FTQJjBTyBmjluSDwzHMNh,Zack Tabudlo,0.563,0.799,2,-4.599,1,0.0358,0.529,0.000241,0.28,0.469,140.045
29,The Ones We Once Loved,6YjKd9oPXKqjLUVPo4Y0oi,Ben&Ben,0.427,0.301,0,-7.845,0,0.0308,0.673,0.0,0.232,0.163,117.241
30,Paninindigan Kita,5d9Rka4T0szdC1MobhtXrV,Ben&Ben,0.624,0.596,4,-9.288,1,0.0308,0.107,0.0,0.357,0.75,113.204
31,Sa Susunod na Habang Buhay,3PgjBOoA5OytNGkglObpOd,Ben&Ben,0.311,0.342,2,-8.889,1,0.032,0.432,1.93e-06,0.114,0.274,177.158
32,Leaves,6wdCelHrPh7UfliNjwRTUv,Ben&Ben,0.447,0.16,6,-10.896,1,0.0372,0.913,0.0,0.0891,0.205,118.313
33,Kathang Isip,3WUEs51GpcvlgU7lehLgLh,Ben&Ben,0.491,0.314,10,-8.58,1,0.0301,0.776,4.76e-06,0.152,0.295,126.921
34,Araw-Araw,4rG3h1QwgjSSWz8EIjCFrm,Ben&Ben,0.475,0.424,11,-8.39,1,0.0295,0.582,0.0,0.234,0.224,140.903
35,Maybe The Night,1yDiru08Q6omDOGkZMPnei,Ben&Ben,0.572,0.522,2,-9.095,1,0.0367,0.113,4.91e-05,0.114,0.498,74.05
36,Pagtingin,5l9g7py8RCblcvbZgGQgSd,Ben&Ben,0.669,0.42,2,-8.464,1,0.0253,0.506,0.0,0.404,0.523,95.049
37,Make It With You,2Mo4pOpCYXOu33856sMQLh,Ben&Ben,0.558,0.458,4,-10.711,1,0.0485,0.7,2.11e-05,0.186,0.342,86.877
38,Lifetime,3X9c4tBzSdGhlO4Fx3WYgW,Ben&Ben,0.386,0.657,7,-5.125,1,0.0316,0.292,1.05e-05,0.393,0.401,179.998
